Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 07:05:05,54.0,20.85,0.19,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:10:05,54.0,20.83,0.17,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:15:05,54.0,20.83,0.17,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:20:05,54.0,20.85,0.19,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:25:05,54.0,20.85,0.19,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:30:05,54.0,20.90,0.24,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:35:06,54.0,20.90,0.24,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:40:06,54.0,20.89,0.23,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:45:04,54.0,20.96,0.30,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:50:05,54.0,21.04,0.38,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 07:55:04,54.0,21.14,0.48,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:00:07,54.0,20.87,0.21,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:05:05,60.0,21.09,0.43,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:10:06,60.0,21.10,0.44,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:15:04,60.0,21.10,0.44,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:20:05,60.0,21.06,0.40,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:25:04,60.0,21.01,0.35,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:30:05,60.0,21.07,0.41,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:35:05,60.0,21.10,0.44,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:40:05,60.0,21.10,0.44,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:45:06,60.0,21.08,0.42,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:50:05,60.0,20.95,0.29,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 08:55:05,60.0,20.86,0.20,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:00:06,60.0,20.83,0.17,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:05:06,60.0,20.77,0.11,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:10:06,60.0,20.80,0.14,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:15:04,60.0,20.94,0.28,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:20:06,60.0,20.86,0.20,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:25:06,60.0,20.80,0.14,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:30:05,60.0,20.66,0.22,-1.15,78820000.0,20.68,20.66,18.74,21.05,
24/02/2021 09:35:05,60.0,21.15,0.49,0.01,2710000.0,20.86,20.66,20.75,21.2799,
24/02/2021 09:40:05,60.0,21.20,0.54,0.01,4410000.0,20.86,20.66,20.75,21.36,
24/02/2021 09:45:05,60.0,21.33,0.66,1.59,8740000.0,20.87,20.66,20.75,21.44,
24/02/2021 09:50:06,60.0,21.33,0.67,1.80,10610000.0,20.87,20.66,20.75,21.475,
24/02/2021 09:55:05,60.0,21.20,0.54,1.81,12670000.0,20.87,20.66,20.75,21.475,
24/02/2021 10:00:05,60.0,21.33,0.67,2.74,15010000.0,20.87,20.66,20.75,21.475,
24/02/2021 10:05:05,60.0,21.21,0.55,2.94,16620000.0,20.87,20.66,20.75,21.48,
24/02/2021 10:10:06,60.0,21.09,0.43,2.95,18630000.0,20.87,20.66,20.75,21.48,
24/02/2021 10:15:06,60.0,21.09,0.43,3.28,20040000.0,20.87,20.66,20.75,21.48,
24/02/2021 10:20:05,60.0,21.26,0.60,4.03,21430000.0,20.87,20.66,20.75,21.48,
24/02/2021 10:25:06,60.0,21.37,0.71,3.84,22720000.0,20.87,20.66,20.75,21.48,
24/02/2021 10:30:05,60.0,21.32,0.66,3.98,23700000.0,20.87,20.66,20.75,21.48,
24/02/2021 10:35:06,60.0,21.48,0.82,4.16,25100000.0,20.87,20.66,20.75,21.52,
24/02/2021 10:40:05,60.0,21.62,0.95,5.47,26370000.0,20.87,20.66,20.75,21.67,
24/02/2021 10:46:15,60.0,21.66,1.00,5.40,27590000.0,20.87,20.66,20.75,21.705,
24/02/2021 10:50:06,60.0,21.67,1.01,5.30,28730000.0,20.87,20.66,20.75,21.705,
24/02/2021 10:54:38,60.0,21.59,0.93,4.66,29770000.0,20.87,20.66,20.75,21.705,
24/02/2021 10:55:05,60.0,21.62,0.95,4.87,29890000.0,20.87,20.66,20.75,21.705,
24/02/2021 11:00:06,60.0,21.68,1.02,4.93,30760000.0,20.87,20.66,20.75,21.71,
24/02/2021 11:05:06,60.0,21.86,1.20,4.76,32320000.0,20.87,20.66,20.75,21.86,
24/02/2021 11:10:05,60.0,21.93,1.27,5.64,33470000.0,20.87,20.66,20.75,21.96,
24/02/2021 11:15:06,60.0,21.89,1.23,5.31,34370000.0,20.87,20.66,20.75,21.96,
24/02/2021 11:20:05,60.0,21.85,1.19,5.27,35270000.0,20.87,20.66,20.75,21.96,
24/02/2021 11:25:05,60.0,21.90,1.24,5.51,36360000.0,20.87,20.66,20.75,21.96,
24/02/2021 11:30:05,60.0,21.87,1.21,5.51,37570000.0,20.87,20.66,20.75,21.99,
24/02/2021 11:35:04,60.0,21.96,1.30,4.82,38360000.0,20.87,20.66,20.75,21.99,
24/02/2021 11:40:05,60.0,22.10,1.44,5.16,39960000.0,20.87,20.66,20.75,22.115,
24/02/2021 11:45:05,60.0,21.95,1.29,5.32,41070000.0,20.87,20.66,20.75,22.115,
24/02/2021 11:50:05,60.0,21.96,1.30,4.99,41890000.0,20.87,20.66,20.75,22.115,
24/02/2021 11:55:05,60.0,21.90,1.24,4.86,43220000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:00:06,60.0,22.04,1.38,5.02,44120000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:05:06,61.0,22.05,1.39,5.37,44730000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:10:04,61.0,22.02,1.36,5.71,45470000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:15:05,61.0,22.02,1.36,6.03,46060000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:20:04,61.0,22.00,1.34,5.81,46680000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:25:05,61.0,21.95,1.29,5.83,47570000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:30:05,61.0,21.90,1.24,6.02,48060000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:35:06,61.0,21.73,1.07,6.14,48800000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:40:05,61.0,21.64,0.98,5.18,49560000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:45:05,61.0,21.60,0.94,4.94,50330000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:50:04,61.0,21.69,1.03,5.11,51210000.0,20.87,20.66,20.75,22.115,
24/02/2021 12:55:05,61.0,21.63,0.97,4.87,52050000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:00:04,61.0,21.54,0.88,4.89,52750000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:05:06,62.0,21.44,0.77,4.54,53680000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:10:05,62.0,21.60,0.94,4.76,54340000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:15:04,62.0,21.72,1.06,4.67,55110000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:20:05,62.0,21.77,1.11,4.92,55910000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:25:05,62.0,21.68,1.02,5.06,56410000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:30:05,62.0,21.72,1.06,5.12,57010000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:35:05,62.0,21.77,1.11,5.20,57500000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:40:05,62.0,21.76,1.10,5.18,57910000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:45:04,62.0,21.81,1.15,5.21,58300000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:50:05,62.0,21.81,1.15,5.07,58550000.0,20.87,20.66,20.75,22.115,
24/02/2021 13:55:05,62.0,21.74,1.08,5.04,58940000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:00:06,62.0,21.72,1.06,5.10,59290000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:05:05,63.0,21.67,1.01,5.10,59530000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:10:05,63.0,21.60,0.94,4.28,60090000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:15:06,63.0,21.56,0.90,4.52,60780000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:20:05,63.0,21.66,1.00,4.37,61020000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:25:05,63.0,21.67,1.01,4.33,61390000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:30:05,63.0,21.73,1.07,4.92,61730000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:35:05,63.0,21.76,1.10,4.96,62050000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:40:06,63.0,21.74,1.08,5.12,62370000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:45:04,63.0,21.80,1.14,5.11,62630000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:50:04,63.0,21.73,1.07,5.10,62910000.0,20.87,20.66,20.75,22.115,
24/02/2021 14:55:05,63.0,21.75,1.09,4.96,63180000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:00:06,63.0,21.80,1.14,4.97,63590000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:05:06,63.0,21.84,1.18,5.20,63940000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:10:06,63.0,21.78,1.12,5.04,64290000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:15:06,63.0,21.80,1.14,4.96,64830000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:20:06,63.0,21.81,1.15,4.93,65210000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:25:06,63.0,21.85,1.19,5.06,65550000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:30:05,63.0,21.85,1.19,5.08,65930000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:35:05,63.0,21.88,1.22,5.49,66690000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:40:04,63.0,21.92,1.26,5.30,67270000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:45:05,63.0,21.87,1.21,5.18,67760000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:50:06,63.0,21.82,1.16,4.66,68470000.0,20.87,20.66,20.75,22.115,
24/02/2021 15:55:05,63.0,21.83,1.17,4.85,69190000.0,20.87,20.66,20.75,22.115,
24/02/2021 16:00:05,63.0,21.82,0.00,5.06,71040000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:05:05,63.0,21.82,0.00,5.06,72690000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:10:06,63.0,21.83,0.01,5.06,73610000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:15:06,63.0,21.90,0.08,5.06,72360000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:20:05,63.0,21.90,0.08,5.06,72480000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:25:06,63.0,21.94,0.12,5.06,72490000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:30:07,63.0,21.92,0.10,5.06,72570000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:35:06,63.0,21.95,0.13,5.06,72610000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:40:05,63.0,22.01,0.19,5.06,72640000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:45:07,63.0,22.01,0.19,5.06,72690000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:50:05,63.0,22.03,0.21,5.06,72710000.0,20.87,21.82,20.75,22.115,
24/02/2021 16:55:06,63.0,21.95,0.13,5.06,72790000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:00:06,63.0,21.85,0.03,5.06,72820000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:05:05,63.0,21.83,0.01,5.06,72870000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:10:07,63.0,21.87,0.04,5.06,72890000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:15:05,63.0,21.86,0.04,5.06,72920000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:20:06,63.0,21.86,0.04,5.06,72950000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:25:06,63.0,21.81,-0.01,5.06,72960000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:30:05,63.0,21.84,0.02,5.06,72980000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:35:06,63.0,21.81,-0.02,5.06,72980000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:40:05,63.0,21.86,0.04,5.06,73000000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:45:06,63.0,21.89,0.07,5.06,74320000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:50:06,63.0,21.86,0.04,5.06,74330000.0,20.87,21.82,20.75,22.115,
24/02/2021 17:55:05,63.0,21.88,0.06,5.06,74340000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:00:08,63.0,21.94,0.12,5.06,74350000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:05:08,63.0,21.90,0.08,5.06,74360000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:10:06,63.0,21.84,0.02,5.06,74370000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:15:06,63.0,21.90,0.08,5.06,74380000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:20:05,63.0,21.89,0.07,5.06,74390000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:25:07,63.0,21.86,0.04,5.06,74400000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:30:06,63.0,21.87,0.05,5.06,74400000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:35:06,63.0,21.92,0.10,5.06,74410000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:40:06,63.0,21.89,0.07,5.06,74410000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:45:05,63.0,21.91,0.09,5.06,74420000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:50:06,63.0,21.92,0.10,5.06,74430000.0,20.87,21.82,20.75,22.115,
24/02/2021 18:55:06,63.0,21.89,0.07,5.06,74440000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:00:08,63.0,21.92,0.10,5.06,74440000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:05:07,63.0,21.93,0.11,5.06,74450000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:10:06,63.0,21.98,0.16,5.06,74460000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:15:05,63.0,21.95,0.13,5.06,74480000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:20:06,63.0,21.94,0.12,5.06,74480000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:25:06,63.0,21.94,0.12,5.06,74500000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:30:07,63.0,21.94,0.12,5.06,74510000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:35:06,63.0,21.93,0.11,5.06,74520000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:40:06,63.0,21.91,0.09,5.06,74520000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:45:07,63.0,21.92,0.10,5.06,74520000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:50:06,63.0,22.00,0.18,5.06,74540000.0,20.87,21.82,20.75,22.115,
24/02/2021 19:55:06,63.0,21.97,0.15,5.06,74540000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:00:07,63.0,22.02,0.20,5.06,74550000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:05:09,63.0,22.02,0.20,5.06,74560000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:10:06,63.0,22.02,0.20,5.06,74570000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:15:06,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:20:06,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:25:06,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:30:07,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:35:05,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:40:06,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:45:07,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:50:06,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 20:55:04,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
24/02/2021 21:00:07,63.0,22.01,0.19,5.06,74610000.0,20.87,21.82,20.75,22.115,
