Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,101.0,125.35,-0.51,-0.53,157630000.0,123.76,125.86,118.39,126.71,
23/02/2021 17:35:03,101.0,125.50,-0.36,-0.53,157630000.0,123.76,125.86,118.39,126.71,
23/02/2021 17:40:04,101.0,125.43,-0.43,-0.53,157670000.0,123.76,125.86,118.39,126.71,
23/02/2021 17:45:03,101.0,125.50,-0.36,-0.53,157690000.0,123.76,125.86,118.39,126.71,
23/02/2021 17:50:04,101.0,125.49,-0.37,-0.53,157720000.0,123.76,125.86,118.39,126.71,
23/02/2021 17:55:03,101.0,125.47,-0.39,-0.53,157730000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:00:03,101.0,125.45,-0.42,-0.53,157740000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:05:04,101.0,125.56,-0.30,-0.53,157750000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:10:04,101.0,125.61,-0.25,-0.53,157760000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:15:04,101.0,125.75,-0.11,-0.53,157780000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:20:04,101.0,125.37,-0.49,-0.53,157790000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:25:03,101.0,125.39,-0.47,-0.53,157800000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:30:03,101.0,125.36,-0.50,-0.53,157830000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:35:03,101.0,125.47,-0.39,-0.53,157860000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:40:04,101.0,125.54,-0.32,-0.53,157860000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:45:04,101.0,125.69,-0.17,-0.53,157880000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:50:03,101.0,125.63,-0.23,-0.53,157890000.0,123.76,125.86,118.39,126.71,
23/02/2021 18:55:03,101.0,125.70,-0.16,-0.53,157920000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:00:04,101.0,125.69,-0.17,-0.53,157930000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:05:04,101.0,125.80,-0.06,-0.53,157940000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:10:04,101.0,125.55,-0.31,-0.53,157940000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:15:04,101.0,125.60,-0.26,-0.53,157950000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:20:04,101.0,125.56,-0.30,-0.53,157980000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:25:04,101.0,125.24,-0.62,-0.53,158000000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:30:04,101.0,125.20,-0.66,-0.53,158010000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:35:03,101.0,125.36,-0.50,-0.53,158020000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:40:04,101.0,125.41,-0.45,-0.53,158060000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:45:04,101.0,125.37,-0.49,-0.53,158120000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:50:03,101.0,125.30,-0.56,-0.53,158130000.0,123.76,125.86,118.39,126.71,
23/02/2021 19:55:03,101.0,125.39,-0.47,-0.53,158140000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:00:03,101.0,125.45,-0.41,-0.53,158150000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:05:04,101.0,125.45,-0.41,-0.53,158160000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:10:04,101.0,125.45,-0.41,-0.53,158200000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:15:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:20:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:25:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:30:03,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:35:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:40:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:45:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:50:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 20:55:04,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:00:05,101.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:05:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:10:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:15:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:20:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:25:04,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:30:04,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:35:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:40:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:45:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:50:04,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 21:55:03,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 22:00:05,102.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 22:05:03,103.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 22:10:04,103.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
23/02/2021 22:15:04,103.0,125.41,-0.45,-0.53,158270000.0,123.76,125.86,118.39,126.71,
