Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 20:10:05,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:15:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:20:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:25:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:30:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:35:05,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:40:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:45:05,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:50:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 20:55:04,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:00:06,51.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:05:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:10:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:15:06,54.0,105.10,-0.10,-0.10,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:20:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:25:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:30:06,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:35:06,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:40:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:45:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:50:06,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 21:55:05,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:00:06,54.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:05:06,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:10:05,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:15:05,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:20:06,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:25:05,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:30:05,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:35:06,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:40:05,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:45:04,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:50:04,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 22:55:05,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:00:06,57.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:05:06,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:10:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:15:06,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:20:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:25:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:30:06,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:35:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:40:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:45:04,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:50:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
24/02/2021 23:55:05,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:00:06,60.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:05:04,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:10:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:15:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:20:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:25:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:30:04,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:35:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:40:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:45:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:50:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 00:55:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:00:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:05:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:10:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:15:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:20:04,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:25:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:30:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:35:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:40:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:45:07,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:50:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 01:55:04,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:00:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:05:08,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:10:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:15:07,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:20:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:25:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:30:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:35:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:40:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:45:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:50:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 02:55:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 03:00:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 03:05:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 03:10:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 03:15:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 03:20:05,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
25/02/2021 03:25:06,61.0,105.10,-0.10,1.09,1000000.0,106.13,105.20,104.7,107.35,
