Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 06:05:05,52.0,201.97,1.77,0.88,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:10:06,52.0,201.61,1.41,0.70,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:15:06,52.0,201.63,1.43,0.71,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:20:05,52.0,202.86,2.66,1.33,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:25:06,52.0,201.94,1.74,0.87,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:30:05,52.0,201.55,1.35,0.67,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:35:05,52.0,202.17,1.97,0.98,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:40:05,52.0,201.13,0.93,0.46,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:45:06,52.0,201.00,0.80,0.40,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:50:05,52.0,201.50,1.30,0.65,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 06:55:05,52.0,201.50,1.30,0.65,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:00:06,52.0,202.34,2.14,1.07,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:05:07,57.0,200.64,0.44,0.22,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:10:06,57.0,199.55,-0.65,-0.32,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:15:06,57.0,199.24,-0.96,-0.48,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:20:08,57.0,198.63,-1.57,-0.78,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:25:07,57.0,198.29,-1.91,-0.95,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:30:06,57.0,198.69,-1.51,-0.75,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:35:07,57.0,198.78,-1.42,-0.71,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:40:06,57.0,199.00,-1.20,-0.60,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:45:06,57.0,198.91,-1.29,-0.64,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:50:07,57.0,199.46,-0.74,-0.37,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 07:55:05,57.0,199.09,-1.11,-0.55,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:00:07,57.0,198.30,-1.90,-0.95,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:05:08,62.0,197.13,-3.07,-1.53,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:10:05,62.0,198.00,-2.20,-1.10,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:15:06,62.0,198.69,-1.51,-0.75,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:20:05,62.0,198.57,-1.63,-0.81,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:25:07,62.0,197.98,-2.22,-1.11,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:30:07,62.0,197.50,-2.70,-1.35,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:35:07,62.0,197.51,-2.69,-1.34,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:40:06,62.0,198.50,-1.70,-0.85,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:45:06,62.0,198.26,-1.94,-0.97,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:50:05,62.0,198.70,-1.50,-0.75,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 08:55:06,62.0,199.00,-1.20,-0.60,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:00:07,62.0,198.74,-1.46,-0.73,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:05:07,67.0,198.00,-2.20,-1.10,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:10:07,67.0,198.00,-2.20,-1.10,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:15:06,67.0,197.23,-2.97,-1.48,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:20:08,67.0,198.07,-2.13,-1.06,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:25:06,67.0,198.00,-2.20,-1.10,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:30:04,67.0,200.20,12.61,6.72,5980000.0,190.98,200.20,189.0,208.145,
25/02/2021 09:35:05,67.0,198.57,-1.63,-0.81,117.19,199.0,200.20,198.21,199.8,
25/02/2021 09:40:06,67.0,194.28,-5.92,-2.96,222.23,199.0,200.20,193.31,199.8,
25/02/2021 09:45:07,67.0,195.61,-4.59,-2.29,474.39,197.41,200.20,192.5122,199.8,
25/02/2021 09:50:06,67.0,195.24,-4.96,-2.48,565.52,197.41,200.20,192.5122,199.8,
25/02/2021 09:55:06,67.0,191.11,-9.09,-4.54,745.74,197.41,200.20,191.01,199.8,
25/02/2021 10:00:07,67.0,192.93,-7.27,-3.63,939.95,197.41,200.20,191.01,199.8,
25/02/2021 10:05:08,72.0,190.20,-10.00,-5.00,1100000.0,197.41,200.20,190.15,199.8,
25/02/2021 10:10:05,72.0,191.74,-8.46,-4.23,1270000.0,197.41,200.20,189.58,199.8,
25/02/2021 10:15:06,72.0,190.18,-10.02,-5.00,1470000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:20:06,72.0,191.11,-9.10,-4.54,1600000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:25:08,72.0,192.32,-7.88,-3.94,1790000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:30:07,72.0,190.81,-9.39,-4.69,1940000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:35:06,72.0,190.95,-9.26,-4.62,2040000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:40:06,72.0,190.07,-10.13,-5.06,2130000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:45:06,72.0,190.01,-10.19,-5.09,2220000.0,197.41,200.20,188.8,199.8,
25/02/2021 10:50:06,72.0,187.79,-12.41,-6.20,2320000.0,197.41,200.20,187.56,199.8,
25/02/2021 10:55:06,72.0,187.88,-12.32,-6.15,2430000.0,197.41,200.20,186.6,199.8,
25/02/2021 11:00:08,72.0,188.21,-11.99,-5.99,2510000.0,197.41,200.20,186.6,199.8,
25/02/2021 11:05:09,72.0,189.08,-11.12,-5.55,2680000.0,197.41,200.20,186.6,199.8,
25/02/2021 11:10:05,72.0,188.80,-11.40,-5.69,2790000.0,197.41,200.20,186.6,199.8,
25/02/2021 11:15:07,72.0,187.63,-12.58,-6.28,2880000.0,197.41,200.20,186.6,199.8,
25/02/2021 11:20:05,72.0,187.08,-13.12,-6.55,2990000.0,197.41,200.20,186.28,199.8,
25/02/2021 11:25:06,72.0,187.19,-13.01,-6.50,3060000.0,197.41,200.20,186.28,199.8,
25/02/2021 11:30:04,72.0,186.61,-13.60,-6.79,3160000.0,197.41,200.20,185.54,199.8,
25/02/2021 11:35:07,72.0,186.43,-13.77,-6.88,3280000.0,197.41,200.20,185.54,199.8,
25/02/2021 11:40:06,72.0,184.62,-15.59,-7.78,3410000.0,197.41,200.20,184.28,199.8,
25/02/2021 11:45:06,72.0,184.23,-15.97,-7.98,3560000.0,197.41,200.20,184.18,199.8,
25/02/2021 11:50:07,72.0,182.85,-17.36,-8.67,3700000.0,197.41,200.20,182.71,199.8,
25/02/2021 11:55:05,72.0,184.48,-15.72,-7.85,3880000.0,197.41,200.20,182.15,199.8,
25/02/2021 12:00:08,72.0,183.72,-16.48,-8.23,4040000.0,197.41,200.20,182.15,199.8,
25/02/2021 12:05:06,72.0,183.86,-16.34,-8.16,4150000.0,197.41,200.20,182.15,199.8,
25/02/2021 12:10:07,72.0,182.87,-17.33,-8.66,4340000.0,197.41,200.20,182.15,199.8,
25/02/2021 12:15:07,72.0,183.16,-17.04,-8.51,4450000.0,197.41,200.20,181.66,199.8,
25/02/2021 12:20:06,72.0,182.80,-17.40,-8.69,4540000.0,197.41,200.20,181.66,199.8,
25/02/2021 12:25:05,72.0,182.29,-17.91,-8.95,4640000.0,197.41,200.20,181.51,199.8,
25/02/2021 12:30:06,72.0,181.52,-18.68,-9.33,4750000.0,197.41,200.20,181.01,199.8,
25/02/2021 12:35:06,72.0,181.40,-18.80,-9.39,4830000.0,197.41,200.20,180.81,199.8,
25/02/2021 12:40:05,72.0,182.71,-17.49,-8.74,4930000.0,197.41,200.20,180.81,199.8,
25/02/2021 12:45:05,72.0,181.80,-18.40,-9.19,5040000.0,197.41,200.20,180.81,199.8,
25/02/2021 12:50:07,72.0,181.10,-19.10,-9.54,5140000.0,197.41,200.20,180.81,199.8,
25/02/2021 12:55:06,72.0,180.25,-19.95,-9.97,5250000.0,197.41,200.20,180.15,199.8,
