Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 18:05:06,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:10:08,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:15:06,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:20:07,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:25:05,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:30:07,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:35:07,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:40:06,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:45:07,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:50:07,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 18:55:07,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:00:10,51.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:05:06,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:10:07,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:15:06,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:20:08,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:25:07,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:30:08,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:35:05,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:40:03,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:45:06,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:50:06,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 19:55:07,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:00:08,53.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:05:06,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:10:07,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:15:06,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:20:07,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:25:07,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:30:06,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:35:06,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:40:07,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:45:06,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:50:07,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 20:55:06,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:00:08,55.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:05:07,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:10:06,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:15:06,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:20:07,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:25:06,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:30:08,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:35:06,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
27/02/2021 21:40:07,57.0,5.22,0.14,10.60,1910000.0,5.16,5.08,4.98,5.38,
