Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 00:05:03,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:10:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:15:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:20:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:25:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:30:03,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:35:05,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:40:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:45:05,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:50:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 00:55:05,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:00:04,50.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:05:05,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:10:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:15:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:20:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:25:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:30:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:35:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:40:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:45:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:50:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 01:55:04,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:00:05,56.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:05:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:10:05,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:15:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:20:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:25:05,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:30:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:35:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:40:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:45:03,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:50:05,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 02:55:05,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
24/02/2021 03:00:04,60.0,123.00,1.88,1.55,3830000.0,121.25,121.12,110.19,123.0,
