Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 02:05:10,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:10:07,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:15:09,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:20:10,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:25:08,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:30:07,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:35:09,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:40:08,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:45:08,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:50:08,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 02:55:07,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:00:11,50.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:05:07,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:10:07,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:15:08,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:20:07,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:25:09,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:30:09,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:35:09,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:40:09,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:45:08,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:50:10,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 03:55:10,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:00:10,51.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:05:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:10:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:15:07,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:20:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:25:09,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:30:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:35:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:40:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:45:09,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
28/02/2021 04:50:08,52.0,39.78,0.00,-2.05,202.68,39.82,39.78,38.85,40.68,
