Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:42,227.0,7.36,-0.34,0.84,263370000.0,6.97,7.70,6.01,7.86,
23/02/2021 17:35:02,227.0,7.36,-0.34,0.84,263370000.0,6.97,7.70,6.01,7.86,
23/02/2021 17:40:03,227.0,7.38,-0.32,0.84,263460000.0,6.97,7.70,6.01,7.86,
23/02/2021 17:45:03,227.0,7.32,-0.38,0.84,263510000.0,6.97,7.70,6.01,7.86,
23/02/2021 17:50:03,227.0,7.38,-0.32,0.84,263600000.0,6.97,7.70,6.01,7.86,
23/02/2021 17:55:03,227.0,7.38,-0.32,0.84,263650000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:00:03,227.0,7.35,-0.35,0.84,263740000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:05:04,235.0,7.38,-0.32,0.84,263800000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:10:03,235.0,7.36,-0.34,0.84,263870000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:15:04,235.0,7.30,-0.40,0.84,263920000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:20:03,235.0,7.29,-0.41,0.84,263940000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:25:03,235.0,7.34,-0.36,0.84,263980000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:30:03,235.0,7.36,-0.34,0.84,264030000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:35:03,235.0,7.38,-0.32,0.84,264060000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:40:03,235.0,7.42,-0.28,0.84,264080000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:45:04,235.0,7.42,-0.28,0.84,264120000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:50:03,235.0,7.38,-0.32,0.84,264140000.0,6.97,7.70,6.01,7.86,
23/02/2021 18:55:03,235.0,7.42,-0.28,0.84,264220000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:00:04,235.0,7.38,-0.32,0.84,264250000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:05:04,239.0,7.41,-0.29,0.84,264300000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:10:03,239.0,7.42,-0.28,0.84,264340000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:15:04,239.0,7.42,-0.28,0.84,264390000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:20:03,239.0,7.41,-0.29,0.84,264420000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:25:03,239.0,7.41,-0.29,0.84,264460000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:30:04,239.0,7.35,-0.35,0.84,264490000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:35:08,239.0,7.33,-0.37,0.84,264520000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:40:03,239.0,7.40,-0.30,0.84,264540000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:45:03,239.0,7.37,-0.33,0.84,264560000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:50:03,239.0,7.38,-0.32,0.84,264620000.0,6.97,7.70,6.01,7.86,
23/02/2021 19:55:03,239.0,7.35,-0.35,0.84,264670000.0,6.97,7.70,6.01,7.86,
23/02/2021 20:00:03,239.0,7.37,-0.33,0.84,264690000.0,6.97,7.70,6.01,7.86,
23/02/2021 20:05:03,243.0,7.37,-0.33,0.84,264720000.0,6.97,7.70,6.01,7.86,
