Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:42,134.0,84.74,0.00,-0.17,49650000.0,83.4,84.74,79.36,85.11,
23/02/2021 17:35:02,134.0,84.70,-0.04,-0.17,49650000.0,83.4,84.74,79.36,85.11,
23/02/2021 17:40:03,134.0,84.75,0.01,-0.17,49650000.0,83.4,84.74,79.36,85.11,
23/02/2021 17:45:03,134.0,84.74,0.00,-0.17,49660000.0,83.4,84.74,79.36,85.11,
23/02/2021 17:50:03,134.0,84.79,0.05,-0.17,49670000.0,83.4,84.74,79.36,85.11,
23/02/2021 17:55:03,134.0,84.76,0.02,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:00:03,134.0,84.80,0.06,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:05:03,142.0,84.70,-0.04,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:10:03,142.0,84.61,-0.13,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:15:03,142.0,84.70,-0.04,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:20:03,142.0,84.55,-0.19,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:25:03,142.0,84.60,-0.14,-0.17,49680000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:30:03,142.0,84.55,-0.19,-0.17,49690000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:35:03,142.0,84.72,-0.02,-0.17,49690000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:40:03,142.0,84.72,-0.02,-0.17,49690000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:45:03,142.0,84.74,0.00,-0.17,49690000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:50:03,142.0,84.75,0.01,-0.17,49690000.0,83.4,84.74,79.36,85.11,
23/02/2021 18:55:02,142.0,84.80,0.06,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:00:04,142.0,84.76,0.02,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:05:03,150.0,84.84,0.10,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:10:04,150.0,84.73,-0.01,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:15:03,150.0,84.73,-0.01,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:20:03,150.0,84.70,-0.04,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:25:03,150.0,84.68,-0.06,-0.17,49700000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:30:03,150.0,84.69,-0.05,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:35:03,150.0,84.74,0.00,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:40:03,150.0,84.75,0.01,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:45:03,150.0,84.77,0.03,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:50:03,150.0,84.77,0.03,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 19:55:03,150.0,84.70,-0.04,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:00:03,150.0,84.84,0.10,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:05:03,154.0,84.84,0.10,-0.17,49710000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:10:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:15:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:20:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:25:04,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:30:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:35:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:40:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:45:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:50:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 20:55:03,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:00:04,154.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:05:02,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:10:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:15:04,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:20:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:25:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:30:04,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:35:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:40:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:45:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:50:03,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 21:55:04,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:00:04,158.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:05:03,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:10:04,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:15:04,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:20:03,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:25:03,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:30:04,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
23/02/2021 22:35:03,162.0,84.84,0.10,-0.17,49720000.0,83.4,84.74,79.36,85.11,
