Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 09:05:05,51.0,3171.00,-23.50,-0.53,4680000.0,3127.03,3194.50,3093.6,3204.73,
24/02/2021 09:10:04,51.0,3173.26,-21.24,-0.53,4680000.0,3127.03,3194.50,3093.6,3204.73,
24/02/2021 09:15:04,51.0,3173.75,-20.75,-0.53,4680000.0,3127.03,3194.50,3093.6,3204.73,
24/02/2021 09:20:04,51.0,3159.06,-35.44,-0.53,4680000.0,3127.03,3194.50,3093.6,3204.73,
24/02/2021 09:25:05,51.0,3165.44,-29.06,-0.53,4680000.0,3127.03,3194.50,3093.6,3204.73,
24/02/2021 09:30:05,51.0,3194.50,13.76,-0.53,4680000.0,3127.03,3194.50,3093.6,3204.73,
24/02/2021 09:35:04,51.0,3162.74,-31.76,-0.84,65.35,3166.75,3194.50,3151.37,3170.0,
24/02/2021 09:40:04,51.0,3158.61,-35.89,-1.02,85.63,3166.75,3194.50,3144.02,3170.0,
24/02/2021 09:45:04,51.0,3146.93,-47.57,-1.28,208.46,3166.75,3194.50,3144.02,3170.0,
24/02/2021 09:50:06,51.0,3149.10,-45.40,-0.96,245.6,3166.75,3194.50,3144.02,3170.0,
24/02/2021 09:55:04,51.0,3139.59,-54.91,-1.14,333.79,3166.75,3194.50,3136.74,3170.0,
24/02/2021 10:00:05,51.0,3141.69,-52.81,-1.55,395.88,3166.75,3194.50,3134.65,3170.0,
24/02/2021 10:05:05,51.0,3128.75,-65.75,-1.64,458.38,3166.75,3194.50,3126.7173,3170.0,
24/02/2021 10:10:05,51.0,3131.45,-63.05,-1.75,536.02,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:15:06,51.0,3135.00,-59.50,-1.72,598.02,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:20:05,51.0,3141.98,-52.52,-1.39,674.52,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:25:05,51.0,3149.92,-44.58,-0.96,736.52,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:30:06,51.0,3150.81,-43.69,-0.87,808.57,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:35:06,51.0,3152.04,-42.47,-0.84,857.09,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:40:06,51.0,3142.67,-51.83,-1.29,894.54,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:46:13,51.0,3140.12,-54.38,-1.29,940.04,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:50:06,51.0,3142.00,-52.50,-1.20,971.32,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:54:37,51.0,3144.32,-50.18,-1.22,1020000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 10:55:05,51.0,3147.00,-47.50,-1.21,1020000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:00:05,51.0,3149.56,-44.94,-0.95,1040000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:05:06,51.0,3156.33,-38.17,-0.75,1070000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:10:04,51.0,3153.15,-41.35,-0.78,1090000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:15:06,51.0,3159.15,-35.35,-0.82,1120000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:20:04,51.0,3164.17,-30.33,-0.71,1150000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:25:05,51.0,3165.86,-28.64,-0.57,1180000.0,3166.75,3194.50,3125.38,3170.0,
24/02/2021 11:30:06,51.0,3164.23,-30.27,-0.53,1210000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 11:35:05,51.0,3168.40,-26.10,-0.54,1240000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 11:40:06,51.0,3160.12,-34.39,-0.53,1270000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 11:45:05,51.0,3156.89,-37.61,-0.62,1300000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 11:50:04,51.0,3158.43,-36.07,-0.62,1330000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:00:06,51.0,3152.10,-42.40,-0.53,1380000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:05:05,51.0,3157.49,-37.01,-0.51,1400000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:10:05,51.0,3160.92,-33.58,-0.39,1410000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:15:05,51.0,3159.88,-34.62,-0.38,1440000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:20:05,51.0,3157.45,-37.05,-0.30,1450000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:25:05,51.0,3158.53,-35.97,-0.42,1480000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:30:04,51.0,3156.64,-37.86,-0.38,1500000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:35:05,51.0,3167.99,-26.51,-0.31,1520000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:40:04,51.0,3166.51,-27.99,-0.21,1540000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:45:05,51.0,3158.26,-36.24,-0.21,1560000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:50:06,51.0,3157.28,-37.22,-0.28,1580000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 12:55:05,51.0,3153.21,-41.29,-0.35,1600000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:00:06,51.0,3151.33,-43.18,-0.11,1620000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:05:06,51.0,3142.70,-51.80,-0.39,1640000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:10:06,51.0,3151.19,-43.31,-0.18,1660000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:15:05,51.0,3155.06,-39.45,0.00,1680000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:20:05,51.0,3153.92,-40.59,-0.03,1710000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:25:06,51.0,3155.44,-39.06,-0.02,1730000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:30:05,51.0,3159.49,-35.01,0.02,1750000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:35:05,51.0,3164.09,-30.41,0.12,1770000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:40:05,51.0,3163.74,-30.76,0.18,1780000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:45:05,51.0,3161.95,-32.55,0.26,1800000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:50:05,51.0,3155.32,-39.18,0.29,1820000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 13:55:05,51.0,3157.11,-37.39,0.17,1830000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 14:00:04,51.0,3158.49,-36.01,0.35,1850000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 14:05:05,51.0,3153.78,-40.72,0.26,1880000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 14:10:05,51.0,3151.02,-43.48,0.24,1900000.0,3166.75,3194.50,3125.38,3171.23,
24/02/2021 14:15:06,51.0,3146.92,-47.58,0.20,1920000.0,3166.75,3194.50,3125.38,3171.23,
