Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 12:05:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:10:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:15:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:20:05,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:25:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:30:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:35:05,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:40:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:45:06,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:50:02,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 12:55:05,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:00:07,55.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:05:05,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:10:05,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:15:06,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:20:05,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:25:06,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:30:06,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:35:05,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:40:06,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:45:06,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:50:07,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 13:55:05,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:00:07,61.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:05:09,63.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:10:08,63.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:15:07,63.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:20:07,63.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:25:09,63.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
27/02/2021 14:30:07,63.0,17.86,0.02,9.60,14010000.0,18.6,17.84,17.76,19.17,
