Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 18:05:11,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:10:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:15:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:20:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:25:06,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:30:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:35:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:40:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:45:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:50:10,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 18:55:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:00:10,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:05:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:10:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:15:10,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:20:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:25:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:30:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:35:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:40:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:45:07,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:50:08,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 19:55:09,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:00:09,50.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:05:07,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:10:07,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:15:08,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:20:07,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:25:06,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:30:07,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:35:07,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:40:06,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:45:07,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:50:08,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 20:55:06,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:00:08,51.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:05:06,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:10:07,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:15:08,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:20:06,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:25:09,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:30:07,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:35:05,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:40:09,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:45:06,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:50:07,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 21:55:06,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:00:09,52.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:05:07,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:10:07,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:15:07,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:20:07,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:25:06,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:30:06,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:35:07,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:40:06,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:45:06,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:50:07,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 22:55:06,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:00:05,53.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:05:06,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:10:07,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:15:06,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:20:10,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:25:06,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:30:06,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:35:07,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
27/02/2021 23:40:07,54.0,61.00,0.13,0.21,2170000.0,63.7495,60.87,57.27,64.897,
