Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 12:05:22,50.0,21.27,-0.27,-1.25,24.41,21.72,21.54,21.14,21.81,
01/03/2021 12:10:11,50.0,21.19,-0.36,-1.65,25.53,21.72,21.54,21.14,21.81,
01/03/2021 12:15:18,50.0,21.08,-0.46,-2.14,31.44,21.72,21.54,20.76,21.81,
01/03/2021 12:20:15,50.0,21.05,-0.49,-2.30,31.92,21.72,21.54,20.76,21.81,
01/03/2021 12:25:09,50.0,21.00,-0.54,-2.53,32.96,21.72,21.54,20.76,21.81,
01/03/2021 12:30:08,50.0,21.02,-0.52,-2.41,41.36,21.72,21.54,20.75,21.81,
01/03/2021 12:35:09,50.0,21.09,-0.45,-2.09,43.33,21.72,21.54,20.75,21.81,
01/03/2021 12:40:10,50.0,21.13,-0.41,-1.91,44.55,21.72,21.54,20.75,21.81,
01/03/2021 12:45:13,50.0,21.09,-0.45,-2.11,44.88,21.72,21.54,20.75,21.81,
01/03/2021 12:50:11,50.0,21.24,-0.30,-1.39,48.55,21.72,21.54,20.75,21.81,
01/03/2021 12:55:15,50.0,21.12,-0.42,-1.95,49.16,21.72,21.54,20.75,21.81,
01/03/2021 13:00:11,50.0,21.11,-0.43,-2.02,50.89,21.72,21.54,20.75,21.81,
01/03/2021 13:05:10,51.0,20.64,-0.90,-4.18,52.29,21.72,21.54,20.64,21.81,
01/03/2021 13:10:11,51.0,20.60,-0.94,-4.36,53.3,21.72,21.54,20.57,21.81,
01/03/2021 13:15:08,51.0,20.60,-0.94,-4.36,55.24,21.72,21.54,20.57,21.81,
01/03/2021 13:20:12,51.0,20.60,-0.94,-4.36,56.46,21.72,21.54,20.57,21.81,
01/03/2021 13:25:07,51.0,20.60,-0.94,-4.36,55.1,21.72,21.54,20.57,21.81,
01/03/2021 13:30:15,51.0,20.50,-1.04,-4.83,56.62,21.72,21.54,20.5,21.81,
01/03/2021 13:35:19,51.0,20.50,-1.04,-4.83,56.9,21.72,21.54,20.5,21.81,
01/03/2021 13:40:08,51.0,20.51,-1.03,-4.78,57.14,21.72,21.54,20.5,21.81,
01/03/2021 13:45:09,51.0,20.40,-1.14,-5.29,59.93,21.72,21.54,20.38,21.81,
01/03/2021 13:50:11,51.0,20.48,-1.06,-4.92,60.55,21.72,21.54,20.38,21.81,
01/03/2021 13:55:17,51.0,20.07,-1.47,-6.82,63.58,21.72,21.54,20.07,21.81,
01/03/2021 14:00:17,51.0,20.21,-1.34,-6.20,65.09,21.72,21.54,20.07,21.81,
01/03/2021 14:05:28,52.0,20.11,-1.43,-6.64,65.8,21.72,21.54,20.07,21.81,
01/03/2021 14:10:15,52.0,20.17,-1.37,-6.36,69.88,21.72,21.54,20.07,21.81,
01/03/2021 14:15:17,52.0,20.26,-1.28,-5.94,71.29,21.72,21.54,20.07,21.81,
01/03/2021 14:20:08,52.0,20.51,-1.03,-4.78,73.49,21.72,21.54,20.07,21.81,
01/03/2021 14:25:08,52.0,20.36,-1.18,-5.48,76.63,21.72,21.54,20.07,21.81,
01/03/2021 14:30:20,52.0,20.36,-1.18,-5.48,77.65,21.72,21.54,20.07,21.81,
01/03/2021 14:35:30,52.0,20.36,-1.18,-5.48,79.75,21.72,21.54,20.07,21.81,
01/03/2021 14:40:07,52.0,20.40,-1.14,-5.29,79.61,21.72,21.54,20.07,21.81,
01/03/2021 14:45:10,52.0,20.20,-1.35,-6.24,83.44,21.72,21.54,20.07,21.81,
01/03/2021 14:50:11,52.0,20.19,-1.35,-6.27,84.09,21.72,21.54,20.07,21.81,
01/03/2021 14:55:18,52.0,20.13,-1.41,-6.55,85.43,21.72,21.54,20.07,21.81,
01/03/2021 15:00:15,52.0,20.30,-1.25,-5.78,91.27,21.72,21.54,20.07,21.81,
01/03/2021 15:05:30,52.0,20.14,-1.41,-6.52,87.59,21.72,21.54,20.07,21.81,
01/03/2021 15:10:09,52.0,20.10,-1.44,-6.69,88.07,21.72,21.54,20.07,21.81,
01/03/2021 15:15:14,52.0,20.10,-1.44,-6.69,88.22,21.72,21.54,20.07,21.81,
01/03/2021 15:20:23,52.0,20.31,-1.23,-5.71,88.72,21.72,21.54,20.07,21.81,
01/03/2021 15:25:18,52.0,20.30,-1.24,-5.76,89.99,21.72,21.54,20.07,21.81,
01/03/2021 15:30:12,52.0,20.30,-1.24,-5.76,90.44,21.72,21.54,20.07,21.81,
01/03/2021 15:35:08,52.0,20.22,-1.32,-6.13,91.64,21.72,21.54,20.07,21.81,
01/03/2021 15:40:10,52.0,20.29,-1.26,-5.83,92.14,21.72,21.54,20.07,21.81,
01/03/2021 15:45:14,52.0,20.29,-1.26,-5.83,92.31,21.72,21.54,20.07,21.81,
01/03/2021 15:50:17,52.0,20.23,-1.31,-6.08,94.34,21.72,21.54,20.07,21.81,
01/03/2021 15:55:21,52.0,20.40,-1.14,-5.29,97.93,21.72,21.54,20.07,21.81,
01/03/2021 16:00:21,52.0,20.44,0.00,0.00,112.58,21.72,20.44,20.07,21.81,
01/03/2021 16:05:19,52.0,20.44,0.00,0.00,114.67,21.72,20.44,20.07,21.81,
01/03/2021 16:15:28,52.0,20.44,0.00,0.00,119.83,21.72,20.44,20.07,21.81,
