Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 01:05:05,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:10:06,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:15:06,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:20:06,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:25:06,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:30:06,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:35:05,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:40:07,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:45:06,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:50:08,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 01:55:07,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:00:08,50.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:05:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:10:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:15:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:20:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:25:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:30:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:35:08,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:45:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:50:06,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 02:55:07,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:00:07,52.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:05:06,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:10:06,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:15:06,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:20:07,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:25:06,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:30:05,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:35:05,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:40:05,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:45:05,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:50:06,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 03:55:06,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 04:00:09,55.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
27/02/2021 04:05:06,58.0,45.59,0.00,-0.42,1240000.0,45.71,45.59,44.37,46.435,
