Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 14:05:05,54.0,55.23,1.50,7.35,100.26,53.66,53.73,53.64,55.6,
24/02/2021 14:10:05,54.0,54.98,1.25,6.97,100.27,53.66,53.73,53.64,55.6,
24/02/2021 14:15:05,54.0,54.95,1.22,6.68,119.51,53.66,53.73,53.64,55.6,
24/02/2021 14:20:06,54.0,55.08,1.35,6.76,114.04,53.66,53.73,53.64,55.6,
24/02/2021 14:25:04,54.0,55.15,1.42,6.89,115.96,53.66,53.73,53.64,55.6,
24/02/2021 14:35:05,54.0,55.16,1.43,7.69,117.28,53.66,53.73,53.64,55.6,
24/02/2021 14:40:05,54.0,55.17,1.44,7.83,118.36,53.66,53.73,53.64,55.6,
24/02/2021 14:45:05,54.0,55.16,1.43,7.59,119.85,53.66,53.73,53.64,55.6,
24/02/2021 14:50:04,54.0,55.19,1.46,7.66,120.41,53.66,53.73,53.64,55.6,
24/02/2021 14:55:04,54.0,55.25,1.52,7.65,121.05,53.66,53.73,53.64,55.6,
24/02/2021 15:00:05,54.0,55.25,1.52,7.73,121.66,53.66,53.73,53.64,55.6,
24/02/2021 15:05:04,55.0,55.26,1.53,8.21,123.36,53.66,53.73,53.64,55.6,
24/02/2021 15:10:05,55.0,55.30,1.57,8.70,125.45,53.66,53.73,53.64,55.6,
24/02/2021 15:15:05,55.0,55.25,1.52,8.56,125.67,53.66,53.73,53.64,55.6,
24/02/2021 15:20:06,55.0,55.29,1.56,8.97,125.92,53.66,53.73,53.64,55.6,
24/02/2021 15:25:05,55.0,55.25,1.51,8.50,129.86,53.66,53.73,53.64,55.6,
24/02/2021 15:30:04,55.0,55.28,1.55,7.66,130.3,53.66,53.73,53.64,55.6,
24/02/2021 15:35:04,55.0,55.25,1.52,7.90,131.67,53.66,53.73,53.64,55.6,
24/02/2021 15:40:04,55.0,55.25,1.52,7.25,133.46,53.66,53.73,53.64,55.6,
24/02/2021 15:45:04,55.0,55.27,1.54,7.25,135.06,53.66,53.73,53.64,55.6,
24/02/2021 15:50:05,55.0,55.25,1.52,7.32,138.48,53.66,53.73,53.64,55.6,
24/02/2021 15:55:05,55.0,55.40,1.67,7.25,143.1,53.66,53.73,53.64,55.6,
24/02/2021 16:05:06,55.0,55.26,0.01,7.73,157.72,53.66,55.25,53.64,55.6,
24/02/2021 16:10:04,55.0,55.26,0.01,7.73,170.5,53.66,55.25,53.64,55.6,
24/02/2021 16:15:05,55.0,55.26,0.00,7.73,211.85,53.66,55.26,53.64,55.6,
