Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 01:05:07,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:10:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:15:06,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:20:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:25:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:30:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:35:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:40:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:45:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:50:05,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 01:55:06,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:00:06,50.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:05:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:10:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:15:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:20:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:25:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:30:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:35:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:40:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:45:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:50:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 02:55:07,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:00:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:05:04,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:10:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:15:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:20:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:25:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:30:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:35:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:40:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:45:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:50:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 03:55:05,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 04:00:07,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 04:05:09,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 04:10:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 04:15:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 04:20:06,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
25/02/2021 04:25:07,54.0,170.44,0.00,3.29,251.55,169.06,170.44,164.78,171.275,
