Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 10:05:04,50.0,91.26,0.66,-0.06,41.75,90.53,90.60,89.88,92.26,
24/02/2021 10:10:06,50.0,91.14,0.54,-0.06,47.01,90.53,90.60,89.88,92.26,
24/02/2021 10:15:06,50.0,90.99,0.39,-0.06,55.05,90.53,90.60,89.88,92.26,
24/02/2021 10:20:05,50.0,91.31,0.70,-0.06,62.84,90.53,90.60,89.88,92.26,
24/02/2021 10:25:06,50.0,91.50,0.90,-0.06,69.18,90.53,90.60,89.88,92.26,
24/02/2021 10:30:05,50.0,91.55,0.95,-0.06,75.01,90.53,90.60,89.88,92.26,
24/02/2021 10:35:06,50.0,91.47,0.87,-0.06,80.91,90.53,90.60,89.88,92.26,
24/02/2021 10:40:06,50.0,91.50,0.90,-0.06,84.58,90.53,90.60,89.88,92.26,
24/02/2021 10:46:15,50.0,91.72,1.12,-0.06,95.31,90.53,90.60,89.88,92.26,
24/02/2021 10:50:06,50.0,91.55,0.95,-0.06,101.33,90.53,90.60,89.88,92.26,
24/02/2021 10:54:37,50.0,91.64,1.04,-0.06,105.9,90.53,90.60,89.88,92.26,
24/02/2021 10:55:05,50.0,91.64,1.04,-0.06,107.87,90.53,90.60,89.88,92.26,
24/02/2021 11:00:06,50.0,91.97,1.37,2.26,119.34,90.53,90.60,89.88,92.26,
24/02/2021 11:05:06,50.0,91.80,1.20,2.26,124.3,90.53,90.60,89.88,92.26,
24/02/2021 11:10:05,50.0,91.98,1.38,2.26,131.19,90.53,90.60,89.88,92.26,
24/02/2021 11:15:05,50.0,92.15,1.55,2.26,135.62,90.53,90.60,89.88,92.26,
24/02/2021 11:20:05,50.0,92.09,1.49,2.26,141.49,90.53,90.60,89.88,92.26,
24/02/2021 11:25:04,50.0,92.14,1.54,2.26,144.12,90.53,90.60,89.88,92.26,
24/02/2021 11:30:05,50.0,92.22,1.62,2.26,147.84,90.53,90.60,89.88,92.26,
24/02/2021 11:35:05,50.0,92.56,1.96,2.26,154.19,90.53,90.60,89.88,92.5645,
24/02/2021 11:40:05,50.0,92.61,2.01,2.26,157.66,90.53,90.60,89.88,92.61,
24/02/2021 11:45:05,50.0,92.45,1.85,1.95,163.58,90.53,90.60,89.88,92.76,
24/02/2021 11:50:04,50.0,92.62,2.02,1.75,167.39,90.53,90.60,89.88,92.76,
24/02/2021 11:55:05,50.0,92.63,2.03,1.81,172.71,90.53,90.60,89.88,92.76,
24/02/2021 12:00:05,50.0,92.96,2.35,1.81,184.56,90.53,90.60,89.88,93.0,
24/02/2021 12:05:05,50.0,93.02,2.42,1.81,189.46,90.53,90.60,89.88,93.1,
24/02/2021 12:10:05,50.0,92.97,2.37,2.15,195.69,90.53,90.60,89.88,93.1,
24/02/2021 12:15:05,50.0,92.95,2.35,2.15,216.2,90.53,90.60,89.88,93.1,
24/02/2021 12:20:04,50.0,92.86,2.26,2.15,225.81,90.53,90.60,89.88,93.105,
24/02/2021 12:25:06,50.0,92.97,2.37,2.15,233.92,90.53,90.60,89.88,93.105,
24/02/2021 12:30:05,50.0,93.05,2.45,2.15,241.22,90.53,90.60,89.88,93.11,
24/02/2021 12:35:05,50.0,93.15,2.55,2.15,247.55,90.53,90.60,89.88,93.16,
24/02/2021 12:40:05,50.0,93.25,2.65,2.15,251.64,90.53,90.60,89.88,93.305,
24/02/2021 12:45:05,50.0,93.29,2.69,2.43,259.18,90.53,90.60,89.88,93.34,
24/02/2021 12:50:06,50.0,93.33,2.73,2.43,265.2,90.53,90.60,89.88,93.355,
24/02/2021 12:55:05,50.0,93.30,2.70,2.43,267.04,90.53,90.60,89.88,93.355,
24/02/2021 13:00:05,50.0,93.28,2.68,2.43,278.38,90.53,90.60,89.88,93.355,
24/02/2021 13:05:06,50.0,93.19,2.59,2.16,285.5,90.53,90.60,89.88,93.355,
24/02/2021 13:10:05,50.0,93.41,2.81,2.16,289.67,90.53,90.60,89.88,93.42,
24/02/2021 13:15:05,50.0,93.62,3.02,2.16,304.51,90.53,90.60,89.88,93.73,
24/02/2021 13:20:05,50.0,93.78,3.18,2.16,300.74,90.53,90.60,89.88,93.92,
24/02/2021 13:25:06,50.0,93.74,3.14,2.16,305.96,90.53,90.60,89.88,93.92,
24/02/2021 13:30:05,50.0,93.81,3.21,2.16,310.06,90.53,90.60,89.88,93.92,
24/02/2021 13:35:05,50.0,93.89,3.29,2.16,327.23,90.53,90.60,89.88,93.98,
24/02/2021 13:40:06,50.0,93.90,3.30,2.16,332.96,90.53,90.60,89.88,93.98,
24/02/2021 13:45:05,50.0,93.75,3.15,2.43,336.69,90.53,90.60,89.88,93.98,
24/02/2021 13:50:05,50.0,93.82,3.22,2.26,340.6,90.53,90.60,89.88,93.98,
24/02/2021 13:55:06,50.0,93.78,3.18,2.26,343.67,90.53,90.60,89.88,93.98,
24/02/2021 14:00:06,50.0,93.95,3.35,2.51,354.97,90.53,90.60,89.88,94.21,
24/02/2021 14:05:05,50.0,94.12,3.52,2.51,357.28,90.53,90.60,89.88,94.25,
24/02/2021 14:10:05,50.0,93.93,3.33,1.98,363.64,90.53,90.60,89.88,94.25,
24/02/2021 14:15:06,50.0,93.91,3.31,1.98,374.26,90.53,90.60,89.88,94.25,
24/02/2021 14:20:06,50.0,93.97,3.37,1.98,376.18,90.53,90.60,89.88,94.25,
24/02/2021 14:25:05,50.0,94.01,3.41,1.76,380.79,90.53,90.60,89.88,94.25,
24/02/2021 14:30:04,50.0,93.95,3.35,1.76,384.96,90.53,90.60,89.88,94.25,
24/02/2021 14:35:06,50.0,94.09,3.49,1.76,388.93,90.53,90.60,89.88,94.25,
24/02/2021 14:40:06,50.0,94.00,3.40,1.76,391.53,90.53,90.60,89.88,94.25,
24/02/2021 14:45:05,50.0,94.00,3.40,1.76,395.71,90.53,90.60,89.88,94.25,
24/02/2021 14:50:06,50.0,93.96,3.36,1.76,401.11,90.53,90.60,89.88,94.25,
24/02/2021 14:55:05,50.0,94.02,3.42,1.76,404.18,90.53,90.60,89.88,94.25,
24/02/2021 15:00:06,50.0,94.15,3.55,3.92,413.16,90.53,90.60,89.88,94.25,
24/02/2021 15:05:05,50.0,94.27,3.67,1.76,416.89,90.53,90.60,89.88,94.3,
24/02/2021 15:10:06,50.0,94.24,3.64,1.76,422.54,90.53,90.60,89.88,94.3,
24/02/2021 15:15:06,50.0,94.22,3.62,1.76,426.96,90.53,90.60,89.88,94.3,
24/02/2021 15:20:06,50.0,94.32,3.72,1.76,430.12,90.53,90.60,89.88,94.355,
