Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 14:05:05,55.0,11.55,0.46,6.83,2610000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:10:05,55.0,11.49,0.40,6.31,2620000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:15:05,55.0,11.54,0.45,5.67,2640000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:20:06,55.0,11.62,0.53,5.63,2670000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:25:05,55.0,11.67,0.58,4.92,2700000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:30:04,55.0,11.67,0.58,4.71,2740000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:35:05,55.0,11.64,0.55,5.36,2770000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:40:05,55.0,11.55,0.46,4.98,2840000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:45:05,55.0,11.56,0.47,4.68,2900000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:50:05,55.0,11.55,0.46,4.64,2930000.0,11.17,11.09,10.82,11.69,
24/02/2021 14:55:04,55.0,11.54,0.45,4.50,2970000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:05:04,61.0,11.59,0.50,5.18,3020000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:10:06,61.0,11.57,0.48,4.97,3050000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:15:05,61.0,11.55,0.46,5.07,3070000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:20:05,61.0,11.52,0.43,4.50,3110000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:25:05,61.0,11.50,0.40,4.89,3160000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:30:04,61.0,11.55,0.46,4.73,3210000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:35:04,61.0,11.57,0.48,4.62,3250000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:40:05,61.0,11.61,0.52,4.88,3320000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:45:04,61.0,11.64,0.55,4.66,3490000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:50:06,61.0,11.65,0.56,4.66,3570000.0,11.17,11.09,10.82,11.69,
24/02/2021 15:55:05,61.0,11.65,0.56,4.50,3730000.0,11.17,11.09,10.82,11.69,
24/02/2021 16:05:06,61.0,11.80,-0.01,4.39,4600000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:10:05,61.0,11.75,-0.06,4.39,4750000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:15:04,61.0,11.78,-0.04,4.39,4640000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:20:05,61.0,11.75,-0.06,4.39,4660000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:25:06,61.0,11.75,-0.06,4.39,4660000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:30:05,61.0,11.75,-0.06,4.39,4660000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:35:05,61.0,11.81,0.00,4.39,4660000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:40:06,61.0,11.81,0.00,4.39,4660000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:45:05,61.0,11.77,-0.04,4.39,4660000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:50:05,61.0,11.80,-0.01,4.39,4740000.0,11.17,11.81,10.82,11.85,
24/02/2021 16:55:06,61.0,11.80,-0.01,4.39,4740000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:00:06,61.0,11.80,-0.01,4.39,4740000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:05:05,61.0,11.75,-0.06,4.39,4740000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:10:06,61.0,11.76,-0.05,4.39,4740000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:15:06,61.0,11.75,-0.06,4.39,4750000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:20:07,61.0,11.80,-0.01,4.39,4750000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:25:06,61.0,11.76,-0.05,4.39,4750000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:30:06,61.0,11.85,0.04,4.39,4760000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:35:05,61.0,11.86,0.05,4.39,4760000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:40:06,61.0,11.82,0.01,4.39,4760000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:45:06,61.0,11.89,0.08,4.39,4800000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:50:05,61.0,11.86,0.05,4.39,4800000.0,11.17,11.81,10.82,11.85,
24/02/2021 17:55:04,61.0,11.86,0.05,4.39,4800000.0,11.17,11.81,10.82,11.85,
24/02/2021 18:00:07,61.0,11.88,0.07,4.39,4810000.0,11.17,11.81,10.82,11.85,
