Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 22:05:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:10:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:15:05,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:20:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:25:03,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:30:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:35:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:40:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:45:03,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:50:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 22:55:04,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:00:05,50.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:05:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:15:03,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:20:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:25:03,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:30:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:35:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:40:03,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:45:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:50:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
23/02/2021 23:55:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
24/02/2021 00:00:04,51.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
24/02/2021 00:05:03,54.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
24/02/2021 00:10:04,54.0,172.00,0.05,0.03,1300000.0,163.88,171.95,157.59,174.37,
