Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 11:05:11,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:10:09,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:15:09,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:20:07,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:25:11,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:30:08,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:35:07,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:40:09,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:45:09,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:50:08,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 11:55:06,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:00:10,51.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:05:10,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:10:06,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:15:06,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:20:09,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:25:08,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:30:06,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:35:09,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:40:06,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:45:08,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:50:06,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 12:55:08,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:00:07,53.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:05:05,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:10:08,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:15:07,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:20:08,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:25:07,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:30:06,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:35:07,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
27/02/2021 13:40:06,55.0,592.98,8.48,0.19,242.32,588.6,584.50,578.0,592.92,
