Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 17:10:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:15:10,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:20:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:25:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:30:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:35:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:40:06,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:45:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:50:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 17:55:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:00:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:05:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:10:10,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:15:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:20:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:25:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:30:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:35:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:40:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:45:10,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:50:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 18:55:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:00:12,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:05:10,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:10:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:15:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:20:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:25:10,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:30:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:35:06,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:40:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:45:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:50:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 19:55:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:00:11,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:05:08,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:10:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:15:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:20:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:25:10,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:30:09,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
27/02/2021 20:35:07,50.0,9.83,0.10,1.03,26460000.0,10.09,9.73,9.38,10.71,
