Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 15:05:06,50.0,63.79,-0.74,0.72,95.22,63.79,64.53,61.75,65.38,
26/02/2021 15:10:06,50.0,63.80,-0.73,0.76,97.04,63.79,64.53,61.75,65.38,
26/02/2021 15:15:06,50.0,63.73,-0.80,0.63,98.52,63.79,64.53,61.75,65.38,
26/02/2021 15:20:06,50.0,63.70,-0.83,0.66,100.07,63.79,64.53,61.75,65.38,
26/02/2021 15:25:08,50.0,63.67,-0.86,0.47,101.2,63.79,64.53,61.75,65.38,
26/02/2021 15:30:06,50.0,63.35,-1.18,0.38,104.8,63.79,64.53,61.75,65.38,
26/02/2021 15:35:07,50.0,63.37,-1.16,0.44,106.21,63.79,64.53,61.75,65.38,
26/02/2021 15:40:06,50.0,63.50,-1.03,0.25,107.17,63.79,64.53,61.75,65.38,
26/02/2021 15:45:05,50.0,63.50,-1.03,0.42,112.86,63.79,64.53,61.75,65.38,
26/02/2021 15:50:06,50.0,63.23,-1.30,0.55,116.09,63.79,64.53,61.75,65.38,
26/02/2021 15:55:06,50.0,63.20,-1.33,-0.30,119.75,63.79,64.53,61.75,65.38,
26/02/2021 16:05:12,51.0,62.99,0.00,-0.59,181.85,63.79,62.99,61.75,65.38,
26/02/2021 16:10:06,52.0,62.99,0.00,-0.59,188.84,63.79,62.99,61.75,65.38,
26/02/2021 16:15:06,52.0,62.99,0.00,-0.70,169.46,63.79,62.99,61.75,65.38,
26/02/2021 16:20:07,52.0,62.99,0.00,-0.70,171.91,63.79,62.99,61.75,65.38,
26/02/2021 16:25:08,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 16:30:07,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 16:35:06,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 16:40:05,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 16:45:06,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 16:50:06,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 16:55:07,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 17:00:09,52.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 17:05:06,53.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 17:10:07,53.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 17:15:07,53.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 17:20:06,53.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
26/02/2021 17:25:05,53.0,62.99,0.00,-0.70,171.99,63.79,62.99,61.75,65.38,
