Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 00:05:05,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:10:04,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:15:05,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:20:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:25:05,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:30:05,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:35:05,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:40:04,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:45:05,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:50:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 00:55:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:00:09,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:05:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:10:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:15:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:20:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:25:10,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:30:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:35:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:40:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:45:09,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:50:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 01:55:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:00:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:05:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:10:09,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:15:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:20:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:25:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:30:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:35:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:40:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:45:09,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:50:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 02:55:06,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:00:09,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:05:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:10:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:15:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:20:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:25:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:30:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:35:08,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:40:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:45:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
27/02/2021 03:50:07,50.0,18.30,-0.05,0.00,2530000.0,18.56,18.35,18.01,18.78,
