Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 12:05:10,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:10:08,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:15:07,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:20:08,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:25:08,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:30:07,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:35:08,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:40:06,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:45:06,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:50:08,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 12:55:09,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:00:11,50.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:05:07,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:10:07,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:15:07,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:20:07,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:25:08,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:30:08,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:35:07,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:40:08,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:45:06,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:50:08,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 13:55:06,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:00:09,52.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:05:07,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:10:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:15:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:20:09,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:25:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:30:07,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:35:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:40:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:45:09,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:50:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 14:55:08,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:00:09,54.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:05:07,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:10:07,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:15:06,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:20:09,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:25:07,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:30:10,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:35:09,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:40:09,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:45:08,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:50:07,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 15:55:09,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
27/02/2021 16:00:09,56.0,24.50,0.09,-0.64,22960000.0,24.76,24.41,24.18,24.845,
