Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 14:05:03,60.0,68.39,1.65,3.12,13040000.0,67.17,66.74,67.0,68.565,
24/02/2021 14:10:04,60.0,68.36,1.62,2.97,13170000.0,67.17,66.74,67.0,68.565,
24/02/2021 14:15:04,60.0,68.34,1.60,2.75,13360000.0,67.17,66.74,67.0,68.565,
24/02/2021 14:20:04,60.0,68.42,1.68,2.95,13630000.0,67.17,66.74,67.0,68.565,
24/02/2021 14:25:04,60.0,68.43,1.69,3.02,13730000.0,67.17,66.74,67.0,68.565,
24/02/2021 14:30:04,60.0,68.52,1.78,3.08,13870000.0,67.17,66.74,67.0,68.57,
24/02/2021 14:35:04,60.0,68.56,1.82,3.14,13990000.0,67.17,66.74,67.0,68.57,
24/02/2021 14:40:04,60.0,68.56,1.82,3.06,14110000.0,67.17,66.74,67.0,68.6,
24/02/2021 14:45:05,60.0,68.62,1.88,2.92,14250000.0,67.17,66.74,67.0,68.675,
24/02/2021 14:50:04,60.0,68.45,1.71,2.91,14390000.0,67.17,66.74,67.0,68.675,
24/02/2021 14:55:04,60.0,68.45,1.71,2.95,14510000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:00:05,60.0,68.40,1.66,2.93,14760000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:05:04,74.0,68.30,1.56,2.90,14950000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:10:04,74.0,68.45,1.71,2.88,15080000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:15:04,74.0,68.45,1.71,2.88,15260000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:20:04,74.0,68.42,1.68,2.99,15390000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:25:04,74.0,68.43,1.68,3.08,15500000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:30:04,74.0,68.48,1.74,3.10,15620000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:35:04,74.0,68.54,1.80,3.30,15720000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:40:06,74.0,68.48,1.74,3.19,15860000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:45:04,74.0,68.45,1.71,3.07,16000000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:50:04,74.0,68.56,1.82,3.11,16290000.0,67.17,66.74,67.0,68.675,
24/02/2021 15:55:04,74.0,68.55,1.80,3.11,16550000.0,67.17,66.74,67.0,68.675,
24/02/2021 16:05:05,74.0,68.60,-0.01,3.14,17440000.0,67.17,68.61,67.0,68.68,
24/02/2021 16:10:04,74.0,68.41,-0.20,3.14,17880000.0,67.17,68.61,67.0,68.68,
24/02/2021 16:15:04,74.0,68.52,-0.09,3.07,18220000.0,67.17,68.61,67.0,68.68,
24/02/2021 16:20:05,74.0,68.65,0.05,3.07,19890000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:25:05,74.0,68.62,0.02,3.07,19900000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:30:06,74.0,68.55,-0.05,3.07,20600000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:35:05,74.0,68.63,0.03,3.07,20640000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:40:05,74.0,68.55,-0.05,3.07,20640000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:45:05,74.0,68.65,0.05,3.07,20640000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:50:04,74.0,68.56,-0.04,3.07,20650000.0,67.17,68.60,67.0,68.68,
24/02/2021 16:55:05,74.0,68.60,0.00,3.07,20650000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:05:05,77.0,68.50,-0.10,3.07,20650000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:10:06,77.0,68.57,-0.03,3.07,20650000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:15:05,77.0,68.60,0.00,3.07,20650000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:20:04,77.0,68.50,-0.10,3.07,20650000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:25:03,77.0,68.60,0.00,3.07,20660000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:30:05,77.0,68.60,0.00,3.07,20660000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:35:05,77.0,68.60,0.00,3.07,20660000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:40:04,77.0,68.50,-0.10,3.07,20660000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:45:06,77.0,68.46,-0.14,3.07,20710000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:50:04,77.0,68.42,-0.18,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 17:55:04,77.0,68.42,-0.18,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 18:00:04,77.0,68.46,-0.14,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 18:05:06,77.0,68.46,-0.14,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 18:10:04,80.0,68.39,-0.21,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 18:15:06,80.0,68.39,-0.21,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 18:20:05,80.0,68.35,-0.25,3.07,20740000.0,67.17,68.60,67.0,68.68,
24/02/2021 18:25:04,80.0,68.35,-0.25,3.07,20740000.0,67.17,68.60,67.0,68.68,
