Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 13:05:05,57.0,16.44,-0.01,-1.22,140.64,16.46,16.45,16.35,16.65,
24/02/2021 13:10:05,57.0,16.51,0.06,-1.27,142.13,16.46,16.45,16.35,16.65,
24/02/2021 13:15:05,57.0,16.51,0.06,-1.28,142.85,16.46,16.45,16.35,16.65,
24/02/2021 13:20:06,57.0,16.52,0.07,-1.32,144.27,16.46,16.45,16.35,16.65,
24/02/2021 13:25:05,57.0,16.50,0.05,-1.25,147.55,16.46,16.45,16.35,16.65,
24/02/2021 13:30:05,57.0,16.47,0.02,-1.37,149.89,16.46,16.45,16.35,16.65,
24/02/2021 13:35:04,57.0,16.44,-0.01,-1.45,151.83,16.46,16.45,16.35,16.65,
24/02/2021 13:40:04,57.0,16.41,-0.04,-1.55,152.73,16.46,16.45,16.35,16.65,
24/02/2021 13:45:04,57.0,16.40,-0.05,-1.55,154.75,16.46,16.45,16.35,16.65,
24/02/2021 13:50:04,57.0,16.38,-0.07,-1.62,158.82,16.46,16.45,16.35,16.65,
24/02/2021 13:55:04,57.0,16.34,-0.11,-1.59,163.33,16.46,16.45,16.34,16.65,
24/02/2021 14:00:06,57.0,16.39,-0.06,-1.44,164.68,16.46,16.45,16.34,16.65,
24/02/2021 14:05:04,57.0,16.36,-0.09,-1.40,167.3,16.46,16.45,16.34,16.65,
24/02/2021 14:10:05,57.0,16.34,-0.11,-1.35,170.65,16.46,16.45,16.34,16.65,
24/02/2021 14:15:05,57.0,16.35,-0.10,-1.38,171.17,16.46,16.45,16.34,16.65,
24/02/2021 14:20:06,57.0,16.34,-0.11,-1.43,175.56,16.46,16.45,16.34,16.65,
24/02/2021 14:25:05,57.0,16.37,-0.08,-1.40,177.3,16.46,16.45,16.34,16.65,
24/02/2021 14:30:06,57.0,16.36,-0.09,-1.38,178.49,16.46,16.45,16.34,16.65,
24/02/2021 14:35:05,57.0,16.39,-0.06,-1.45,183.78,16.46,16.45,16.34,16.65,
24/02/2021 14:40:05,57.0,16.37,-0.08,-1.53,185.94,16.46,16.45,16.34,16.65,
24/02/2021 14:45:05,57.0,16.37,-0.08,-1.49,186.96,16.46,16.45,16.34,16.65,
24/02/2021 14:50:05,57.0,16.40,-0.05,-1.48,189.68,16.46,16.45,16.34,16.65,
24/02/2021 14:55:06,57.0,16.41,-0.04,-1.54,192.11,16.46,16.45,16.34,16.65,
