Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 18:05:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:10:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:15:04,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:20:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:25:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:30:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:35:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:40:04,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:45:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:50:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 18:55:03,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:00:04,50.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:05:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:10:04,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:15:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:20:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:25:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:30:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:35:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:40:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:45:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:50:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 19:55:02,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:00:03,54.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:05:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:10:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:15:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:20:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:25:04,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:30:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:35:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:40:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:45:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:50:03,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 20:55:04,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:00:04,58.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:05:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:10:02,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:15:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:20:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:25:04,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:30:04,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:35:02,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:40:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:45:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:50:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 21:55:03,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:00:04,62.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:05:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:10:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:15:04,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:20:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:25:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:30:04,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:35:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:40:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:45:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:50:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 22:55:04,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:00:03,65.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:05:03,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:10:03,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:15:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:20:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:25:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:30:03,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:35:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:40:03,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:45:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:50:03,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
23/02/2021 23:55:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:00:04,67.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:05:03,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:10:04,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:15:04,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:20:03,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:25:03,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:30:03,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:35:04,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
24/02/2021 00:40:03,70.0,25.00,0.02,1.70,1530000.0,25.06,24.98,24.1,25.21,
