Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,156.0,36.90,1.69,4.80,189110000.0,35.02,35.21,30.0,43.94,
23/02/2021 17:35:03,156.0,36.88,1.67,4.74,189140000.0,35.02,35.21,30.0,43.94,
23/02/2021 17:40:03,156.0,36.85,1.64,4.66,189240000.0,35.02,35.21,30.0,43.94,
23/02/2021 17:45:03,156.0,36.78,1.57,4.46,189340000.0,35.02,35.21,30.0,43.94,
23/02/2021 17:50:04,156.0,36.92,1.71,4.86,189410000.0,35.02,35.21,30.0,43.94,
23/02/2021 17:55:03,156.0,36.63,1.42,4.03,189480000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:00:03,156.0,36.50,1.29,3.66,189510000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:05:03,160.0,36.35,1.14,3.24,189540000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:10:03,160.0,36.59,1.38,3.92,189580000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:15:03,160.0,36.80,1.59,4.52,189650000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:20:03,160.0,36.61,1.40,3.98,189690000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:25:03,160.0,36.59,1.38,3.92,189720000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:30:02,160.0,36.40,1.19,3.38,189730000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:35:03,160.0,36.62,1.41,4.00,189750000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:40:03,160.0,36.70,1.49,4.23,189770000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:45:03,160.0,36.65,1.44,4.09,189800000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:50:03,160.0,36.56,1.35,3.83,189830000.0,35.02,35.21,30.0,43.94,
23/02/2021 18:55:03,160.0,36.30,1.09,3.10,189850000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:00:03,160.0,36.38,1.17,3.32,189860000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:05:04,162.0,36.39,1.18,3.35,189880000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:10:03,162.0,36.19,0.98,2.78,189920000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:15:04,162.0,35.89,0.68,1.93,189940000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:20:04,162.0,35.86,0.65,1.85,189950000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:25:04,162.0,35.70,0.49,1.39,189980000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:30:03,162.0,35.32,0.11,0.31,190030000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:35:08,162.0,35.48,0.27,0.77,190070000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:40:03,162.0,35.30,0.09,0.26,190110000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:45:03,162.0,35.36,0.15,0.43,190170000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:50:03,162.0,35.50,0.29,0.82,190220000.0,35.02,35.21,30.0,43.94,
23/02/2021 19:55:03,162.0,35.41,0.20,0.57,190260000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:00:03,162.0,35.39,0.18,0.51,190300000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:05:04,164.0,35.39,0.18,0.51,190330000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:10:03,164.0,35.39,0.18,0.51,190360000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:15:03,164.0,35.40,0.19,0.54,190450000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:20:04,164.0,35.40,0.19,0.54,190450000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:25:04,164.0,35.40,0.19,0.54,190450000.0,35.02,35.21,30.0,43.94,
23/02/2021 20:30:02,164.0,35.40,0.19,0.54,190450000.0,35.02,35.21,30.0,43.94,
