Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
04/03/2021 07:05:10,50.0,28.93,0.26,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:10:13,50.0,28.81,0.14,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:15:09,50.0,28.68,0.01,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:20:09,50.0,28.59,-0.08,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:25:08,50.0,28.53,-0.14,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:30:10,50.0,28.54,-0.13,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:35:12,50.0,28.54,-0.13,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:40:11,50.0,28.66,-0.01,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:45:09,50.0,28.71,0.04,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:50:08,50.0,28.78,0.11,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 07:55:09,50.0,28.76,0.09,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:00:13,50.0,28.78,0.11,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:05:10,50.0,28.84,0.17,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:10:10,50.0,28.76,0.09,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:15:10,50.0,28.87,0.20,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:20:11,50.0,28.97,0.30,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:25:10,50.0,29.00,0.33,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:30:09,50.0,28.99,0.32,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:35:12,50.0,29.17,0.50,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:40:10,50.0,29.30,0.63,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:45:11,50.0,29.40,0.73,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:50:10,50.0,29.22,0.55,0.92,71580000.0,28.45,28.67,28.18,29.59,
04/03/2021 08:55:12,50.0,29.38,0.71,0.92,71580000.0,28.45,28.67,28.18,29.59,
