Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 06:05:04,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:10:05,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:15:05,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:20:06,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:25:05,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:30:05,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:35:05,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:40:06,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:45:06,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:50:05,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 06:55:06,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:00:06,50.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:05:05,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:10:06,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:15:05,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:20:05,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:25:06,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:30:05,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:35:06,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:40:06,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:45:07,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:50:05,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 07:55:06,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:00:08,51.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:05:07,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:10:06,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:15:04,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:20:05,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:25:06,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:30:05,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:35:05,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:40:06,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:45:07,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
25/02/2021 08:50:06,52.0,56.95,0.05,2.87,673.85,57.16,56.90,55.81,57.89,
