Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 09:30:06,149.0,131.60,2.08,2.54,17.94,130.99,131.60,127.5559,131.83,
24/02/2021 09:35:04,149.0,126.00,-3.52,4.21,18.44,130.99,131.60,126.0,131.83,
24/02/2021 09:40:04,149.0,126.00,-3.52,4.30,18.44,130.99,131.60,126.0,131.83,
24/02/2021 09:45:05,149.0,125.50,-6.10,2.06,1.94,126.0,131.60,125.5,126.02,
24/02/2021 09:50:05,149.0,125.50,-6.10,2.79,3.1,126.0,131.60,125.5,126.05,
24/02/2021 09:55:04,149.0,128.44,-3.16,2.39,3.48,126.0,131.60,125.5,128.44,
24/02/2021 10:00:05,149.0,128.00,-3.60,2.76,3.98,126.0,131.60,125.5,128.44,
24/02/2021 10:05:04,157.0,128.00,-3.60,3.07,4.98,126.0,131.60,125.5,128.45,
24/02/2021 10:10:05,157.0,128.00,-3.60,2.91,8.3,126.0,131.60,125.5,128.45,
24/02/2021 10:15:05,157.0,128.00,-3.60,3.23,8.88,126.0,131.60,125.5,128.45,
24/02/2021 10:20:04,157.0,128.00,-3.60,3.26,8.45,126.0,131.60,125.5,128.45,
24/02/2021 10:25:05,157.0,128.00,-3.60,3.30,8.45,126.0,131.60,125.5,128.45,
24/02/2021 10:30:05,157.0,128.00,-3.60,3.38,8.45,126.0,131.60,125.5,128.45,
24/02/2021 10:35:06,157.0,128.00,-3.60,3.53,8.45,126.0,131.60,125.5,128.45,
24/02/2021 10:40:05,157.0,128.00,-3.60,3.67,8.47,126.0,131.60,125.5,128.45,
24/02/2021 10:46:30,157.0,128.00,-3.60,3.64,8.56,126.0,131.60,125.5,128.45,
24/02/2021 10:50:04,157.0,128.00,-3.60,3.47,8.56,126.0,131.60,125.5,128.45,
24/02/2021 10:54:36,157.0,128.00,-3.60,3.63,8.63,126.0,131.60,125.5,128.45,
24/02/2021 10:55:05,157.0,127.74,-3.86,3.65,8.73,126.0,131.60,125.5,128.45,
24/02/2021 11:00:06,157.0,127.74,-3.86,3.76,8.76,126.0,131.60,125.5,128.45,
24/02/2021 11:05:04,165.0,127.99,-3.61,3.92,8.86,126.0,131.60,125.5,128.45,
24/02/2021 11:10:04,165.0,127.99,-3.61,4.37,9.47,126.0,131.60,125.5,128.45,
24/02/2021 11:15:04,165.0,127.99,-3.61,4.48,9.47,126.0,131.60,125.5,128.45,
