Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 22:05:10,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:10:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:15:06,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:20:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:25:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:30:06,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:35:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:40:06,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:45:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:50:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 22:55:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:00:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:05:09,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:10:10,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:15:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:20:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:25:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:30:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:35:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:40:06,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:45:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:50:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
27/02/2021 23:55:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:00:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:05:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:10:06,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:15:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:20:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:25:09,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:30:10,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:35:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:40:09,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:45:08,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:50:07,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
28/02/2021 00:55:06,52.0,13.14,-0.06,-0.45,2360000.0,13.5,13.20,12.245,13.97,
