Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 14:05:27,53.0,35.40,0.36,1.03,872.27,35.52,35.04,34.96,35.87,
01/03/2021 14:10:07,53.0,35.41,0.37,1.06,879.97,35.52,35.04,34.96,35.87,
01/03/2021 14:15:10,53.0,35.43,0.39,1.11,888.77,35.52,35.04,34.96,35.87,
01/03/2021 14:20:10,53.0,35.42,0.38,1.08,898.04,35.52,35.04,34.96,35.87,
01/03/2021 14:25:04,53.0,35.43,0.38,1.10,912.1,35.52,35.04,34.96,35.87,
01/03/2021 14:30:14,53.0,35.41,0.37,1.06,926.57,35.52,35.04,34.96,35.87,
01/03/2021 14:35:22,53.0,35.40,0.36,1.03,933.7,35.52,35.04,34.96,35.87,
01/03/2021 14:40:06,53.0,35.43,0.39,1.11,945.76,35.52,35.04,34.96,35.87,
01/03/2021 14:45:07,53.0,35.46,0.42,1.20,957.17,35.52,35.04,34.96,35.87,
01/03/2021 14:50:15,53.0,35.42,0.38,1.08,962.72,35.52,35.04,34.96,35.87,
01/03/2021 14:55:17,53.0,35.46,0.42,1.20,978.73,35.52,35.04,34.96,35.87,
01/03/2021 15:00:10,53.0,35.47,0.43,1.23,989.62,35.52,35.04,34.96,35.87,
01/03/2021 15:05:07,53.0,35.49,0.45,1.29,998.12,35.52,35.04,34.96,35.87,
01/03/2021 15:10:07,53.0,35.57,0.53,1.51,1020000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:15:07,53.0,35.60,0.56,1.60,1030000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:20:24,53.0,35.56,0.52,1.47,1060000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:25:13,53.0,35.57,0.52,1.50,1070000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:30:17,53.0,35.51,0.47,1.33,1080000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:35:13,53.0,35.44,0.40,1.14,1110000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:40:05,53.0,35.41,0.37,1.06,1130000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:45:10,53.0,35.33,0.29,0.83,1140000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:50:18,53.0,35.39,0.34,0.98,1190000.0,35.52,35.04,34.96,35.87,
01/03/2021 15:55:17,53.0,35.32,0.27,0.78,1230000.0,35.52,35.04,34.96,35.87,
01/03/2021 16:05:15,53.0,35.26,-0.02,-0.06,1350000.0,35.52,35.28,34.96,35.87,
01/03/2021 16:10:28,53.0,35.26,-0.02,-0.06,1430000.0,35.52,35.28,34.96,35.87,
01/03/2021 16:15:31,53.0,35.26,-0.04,-0.11,1490000.0,35.52,35.30,34.96,35.87,
01/03/2021 16:20:15,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:25:32,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:30:13,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:35:19,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:40:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:45:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:50:16,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 16:55:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:00:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:05:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:10:09,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:15:05,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:20:10,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:25:09,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:31:35,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:36:04,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:40:12,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 17:52:01,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:00:48,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:06:14,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:10:55,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:15:44,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:21:25,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:25:29,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:30:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:35:13,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:40:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:45:10,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:50:10,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 18:55:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:00:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:05:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:10:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:15:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:20:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:25:04,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:30:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:35:03,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:40:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:45:10,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:50:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 19:55:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:00:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:05:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:10:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:15:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:20:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:25:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:30:07,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:35:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:40:05,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:45:10,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:50:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 20:55:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 21:00:08,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 21:05:11,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 21:10:05,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
01/03/2021 21:15:06,53.0,35.26,0.00,0.00,1740000.0,35.52,35.26,34.96,35.87,
