Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 21:05:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:10:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:15:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:20:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:25:04,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:30:04,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:35:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:40:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:45:03,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:50:04,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 21:55:04,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:00:04,52.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:05:03,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:10:03,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:15:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:20:03,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:25:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:30:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:35:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:40:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:45:03,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:50:03,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 22:55:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:00:04,55.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:05:03,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:15:03,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:20:04,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:25:03,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:30:03,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:35:04,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:40:03,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:45:04,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:50:04,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
23/02/2021 23:55:03,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:00:04,59.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:05:03,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:10:04,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:15:03,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:20:04,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:25:04,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:30:03,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:35:08,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:40:07,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:45:04,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:50:03,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 00:55:04,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:00:04,63.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:05:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:10:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:15:03,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:20:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:25:05,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:30:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:35:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:40:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:45:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:50:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 01:55:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:00:04,67.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:05:04,71.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:10:04,71.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:15:04,71.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:20:04,71.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:25:04,71.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
24/02/2021 02:30:04,71.0,10.28,0.04,0.39,462.71,10.17,10.24,10.13,10.24,
