Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 16:05:12,50.0,217.00,0.70,-0.21,17320000.0,229.39,216.30,216.3,230.5,
26/02/2021 16:10:07,50.0,216.55,0.25,-0.21,17840000.0,229.39,216.30,216.3,230.5,
26/02/2021 16:15:07,50.0,216.75,0.25,-0.27,19290000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:20:06,50.0,216.53,0.03,-0.27,19920000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:25:09,50.0,216.75,0.25,-0.27,19990000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:30:07,50.0,216.85,0.35,-0.27,20090000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:35:08,50.0,216.78,0.28,-0.27,20090000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:40:07,50.0,216.87,0.37,-0.27,20090000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:45:05,50.0,216.87,0.37,-0.27,20130000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:50:07,50.0,217.00,0.50,-0.27,20160000.0,229.39,216.50,216.34,230.5,
26/02/2021 16:55:07,50.0,217.35,0.85,-0.27,20160000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:00:07,50.0,217.35,0.85,-0.27,20170000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:05:07,50.0,217.34,0.84,-0.27,20170000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:10:08,50.0,217.08,0.58,-0.27,20190000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:15:07,50.0,217.28,0.78,-0.27,20190000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:20:06,50.0,217.25,0.75,-0.27,20200000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:25:07,50.0,217.50,1.00,-0.27,20200000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:30:06,50.0,217.50,1.00,-0.27,20200000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:35:12,50.0,217.26,0.76,-0.27,20200000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:40:10,50.0,217.60,1.10,-0.27,20320000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:45:26,50.0,218.24,1.74,-0.27,20320000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:50:08,50.0,217.73,1.22,-0.27,20320000.0,229.39,216.50,216.34,230.5,
26/02/2021 17:55:08,50.0,217.93,1.43,-0.27,20330000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:00:12,50.0,217.99,1.49,-0.27,20340000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:05:14,50.0,217.92,1.42,-0.27,20340000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:10:07,50.0,217.80,1.30,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:15:09,50.0,217.85,1.35,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:20:07,50.0,217.61,1.11,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:25:10,50.0,217.95,1.45,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:30:07,50.0,217.79,1.29,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:35:09,50.0,217.98,1.48,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:40:09,50.0,217.88,1.38,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:45:12,50.0,217.28,0.78,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:50:08,50.0,217.70,1.20,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 18:55:10,50.0,217.30,0.80,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:00:11,50.0,217.91,1.41,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:05:09,50.0,217.91,1.41,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:10:10,50.0,217.83,1.33,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:15:12,50.0,217.81,1.31,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:20:09,50.0,217.97,1.47,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:25:07,50.0,217.50,1.00,-0.27,20360000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:30:07,50.0,217.96,1.46,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:35:19,50.0,217.94,1.44,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:40:09,50.0,217.94,1.44,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:45:09,50.0,217.98,1.48,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 19:55:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:00:11,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:05:13,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:10:11,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:15:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:20:12,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:25:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:30:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:35:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:40:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:45:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:50:06,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 20:55:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:00:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:05:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:10:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:15:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:20:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:25:06,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:30:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:35:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:40:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:45:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:50:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 21:55:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:00:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:05:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:10:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:15:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:20:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:25:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:30:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:35:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:40:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:45:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:50:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 22:55:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:00:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:05:28,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:10:16,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:15:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:20:13,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:25:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:30:12,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:35:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:40:15,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:45:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:50:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
26/02/2021 23:55:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:00:19,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:05:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:10:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:15:12,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:20:11,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:25:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:30:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:35:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:40:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:45:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:50:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 00:55:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:00:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:05:06,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:10:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:15:09,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:20:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:25:10,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:30:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:35:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:40:08,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
27/02/2021 01:45:07,50.0,217.99,1.49,-0.27,20370000.0,229.39,216.50,216.34,230.5,
