Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 11:05:12,50.0,36.90,1.06,2.96,422.3,36.8,35.84,36.4493,37.65,
01/03/2021 11:10:08,51.0,37.00,1.16,3.24,436,36.8,35.84,36.4493,37.65,
01/03/2021 11:15:11,51.0,36.80,0.96,2.66,504.55,36.8,35.84,36.24,37.65,
01/03/2021 11:20:13,51.0,36.69,0.85,2.37,517.6,36.8,35.84,36.24,37.65,
01/03/2021 11:25:07,51.0,36.78,0.94,2.62,532.09,36.8,35.84,36.24,37.65,
01/03/2021 11:30:08,51.0,36.73,0.89,2.48,576.78,36.8,35.84,36.24,37.65,
01/03/2021 11:35:08,51.0,36.83,0.99,2.76,597.57,36.8,35.84,36.24,37.65,
01/03/2021 11:40:08,51.0,36.84,1.00,2.79,606.26,36.8,35.84,36.24,37.65,
01/03/2021 11:45:12,51.0,36.93,1.09,3.04,617.38,36.8,35.84,36.24,37.65,
01/03/2021 11:50:08,51.0,36.95,1.11,3.09,637.12,36.8,35.84,36.24,37.65,
01/03/2021 11:55:10,51.0,36.99,1.15,3.21,652.89,36.8,35.84,36.24,37.65,
01/03/2021 12:00:10,51.0,36.85,1.01,2.82,665.14,36.8,35.84,36.24,37.65,
01/03/2021 12:05:22,51.0,36.86,1.02,2.85,675.9,36.8,35.84,36.24,37.65,
01/03/2021 12:10:13,51.0,37.03,1.19,3.32,686.75,36.8,35.84,36.24,37.65,
01/03/2021 12:15:18,51.0,36.99,1.15,3.21,709.25,36.8,35.84,36.24,37.65,
01/03/2021 12:20:16,51.0,36.76,0.92,2.56,726.16,36.8,35.84,36.24,37.65,
01/03/2021 12:25:07,51.0,36.85,1.01,2.82,735.12,36.8,35.84,36.24,37.65,
01/03/2021 12:30:09,51.0,36.75,0.91,2.54,762,36.8,35.84,36.24,37.65,
01/03/2021 12:35:10,51.0,36.77,0.93,2.59,765.65,36.8,35.84,36.24,37.65,
01/03/2021 12:40:10,51.0,36.78,0.94,2.62,770.85,36.8,35.84,36.24,37.65,
01/03/2021 12:45:19,51.0,36.70,0.86,2.40,777.49,36.8,35.84,36.24,37.65,
01/03/2021 12:50:13,51.0,36.76,0.92,2.57,785.08,36.8,35.84,36.24,37.65,
01/03/2021 12:55:17,51.0,36.60,0.76,2.12,798.19,36.8,35.84,36.24,37.65,
01/03/2021 13:00:14,51.0,36.40,0.56,1.56,815.31,36.8,35.84,36.24,37.65,
01/03/2021 13:05:11,51.0,36.48,0.64,1.78,830.29,36.8,35.84,36.24,37.65,
01/03/2021 13:10:17,51.0,36.53,0.69,1.93,844.7,36.8,35.84,36.24,37.65,
01/03/2021 13:15:08,51.0,36.50,0.66,1.83,868.92,36.8,35.84,36.24,37.65,
01/03/2021 13:20:11,51.0,36.51,0.67,1.87,886.7,36.8,35.84,36.24,37.65,
01/03/2021 13:25:07,51.0,36.59,0.75,2.08,907.15,36.8,35.84,36.24,37.65,
01/03/2021 13:30:11,51.0,36.66,0.82,2.29,917.81,36.8,35.84,36.24,37.65,
01/03/2021 13:35:10,51.0,36.53,0.69,1.93,926.35,36.8,35.84,36.24,37.65,
01/03/2021 13:40:11,51.0,36.64,0.80,2.23,932.96,36.8,35.84,36.24,37.65,
01/03/2021 13:45:10,51.0,36.91,1.07,2.99,939.15,36.8,35.84,36.24,37.65,
01/03/2021 13:50:13,51.0,36.50,0.65,1.83,970.02,36.8,35.84,36.24,37.65,
01/03/2021 13:55:34,51.0,36.40,0.56,1.56,979.28,36.8,35.84,36.24,37.65,
01/03/2021 14:00:34,51.0,36.31,0.47,1.30,990,36.8,35.84,36.24,37.65,
01/03/2021 14:05:30,51.0,36.41,0.57,1.59,1030000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:10:13,51.0,36.26,0.42,1.17,1040000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:15:17,51.0,36.41,0.57,1.59,1050000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:20:10,51.0,36.36,0.52,1.45,1070000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:25:14,51.0,36.49,0.65,1.81,1080000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:30:20,51.0,36.61,0.77,2.15,1100000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:35:31,51.0,36.52,0.68,1.90,1110000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:40:14,51.0,36.43,0.59,1.65,1120000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:45:07,51.0,36.50,0.66,1.83,1120000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:50:12,51.0,36.56,0.72,2.01,1130000.0,36.8,35.84,36.24,37.65,
01/03/2021 14:55:19,51.0,36.68,0.84,2.34,1130000.0,36.8,35.84,36.24,37.65,
01/03/2021 15:00:20,51.0,36.67,0.83,2.32,1140000.0,36.8,35.84,36.24,37.65,
01/03/2021 15:05:35,51.0,36.74,0.90,2.51,1160000.0,36.8,35.84,36.24,37.65,
01/03/2021 15:10:11,51.0,36.74,0.90,2.51,1170000.0,36.8,35.84,36.24,37.65,
01/03/2021 15:15:12,51.0,36.71,0.86,2.41,1180000.0,36.8,35.84,36.24,37.65,
01/03/2021 15:20:28,51.0,36.64,0.80,2.22,1190000.0,36.8,35.84,36.24,37.65,
