Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 07:05:11,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:10:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:15:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:20:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:25:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:30:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:35:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:40:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:45:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:50:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 07:55:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:00:06,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:05:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:10:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:15:11,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:20:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:25:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:30:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:35:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:40:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:45:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:50:11,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 08:55:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:00:12,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:05:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:10:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:15:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:20:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:25:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:30:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:35:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:40:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:45:12,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:50:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 09:55:11,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:00:13,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:05:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:10:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:15:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:20:08,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:25:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:30:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:35:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:40:10,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:45:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
27/02/2021 10:50:09,50.0,216.00,0.00,0.00,4900000.0,209.3,216.00,204.52,217.19,
