Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 05:05:04,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:10:05,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:15:05,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:20:04,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:25:05,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:30:04,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:35:04,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:40:05,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:45:05,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:50:04,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 05:55:04,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:00:05,51.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:05:04,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:10:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:15:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:20:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:25:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:30:04,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:35:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:40:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:45:04,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:50:05,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 06:55:03,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:00:06,53.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:05:05,55.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:10:06,55.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:15:05,55.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:20:05,55.0,14.41,0.11,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:25:05,55.0,14.41,0.11,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:30:04,55.0,14.41,0.11,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:35:06,55.0,14.41,0.11,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:40:05,55.0,14.41,0.11,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:45:06,55.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:50:04,55.0,14.45,0.15,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 07:55:05,55.0,14.44,0.14,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:00:07,55.0,14.42,0.12,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:05:05,57.0,14.42,0.12,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:10:05,57.0,14.42,0.12,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:15:05,57.0,14.44,0.14,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:20:05,57.0,14.44,0.14,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:25:05,57.0,14.39,0.09,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:30:06,57.0,14.39,0.09,0.63,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:35:05,57.0,14.39,0.09,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:40:06,57.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:45:05,57.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:50:06,57.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 08:55:05,57.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:00:06,57.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:05:06,59.0,14.34,0.04,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:10:05,59.0,14.34,0.04,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:15:05,59.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:20:06,59.0,14.38,0.08,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:25:06,59.0,14.35,0.05,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:30:04,59.0,14.30,0.00,1.26,2700000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:35:05,59.0,14.36,0.06,1.52,2720000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:40:04,59.0,14.36,0.06,1.48,2730000.0,14.37,14.30,14.1101,14.41,
24/02/2021 09:45:05,59.0,14.38,0.08,0.52,150.73,14.35,14.30,14.34,14.405,
24/02/2021 09:50:05,59.0,14.40,0.10,0.44,206.81,14.35,14.30,14.34,14.405,
24/02/2021 09:55:05,59.0,14.38,0.08,0.39,255.96,14.35,14.30,14.33,14.41,
24/02/2021 10:00:07,59.0,14.50,0.20,0.60,710.99,14.35,14.30,14.33,14.5,
24/02/2021 10:05:06,60.0,14.52,0.22,0.58,848.42,14.35,14.30,14.33,14.53,
24/02/2021 10:10:06,60.0,14.48,0.18,0.64,912.19,14.35,14.30,14.33,14.53,
24/02/2021 10:15:05,60.0,14.49,0.19,0.79,2010000.0,14.35,14.30,14.33,14.53,
24/02/2021 10:20:05,60.0,14.52,0.22,0.87,2100000.0,14.35,14.30,14.33,14.53,
24/02/2021 10:25:06,60.0,14.54,0.24,0.79,2190000.0,14.35,14.30,14.33,14.54,
24/02/2021 10:30:06,60.0,14.56,0.26,0.65,2300000.0,14.35,14.30,14.33,14.57,
24/02/2021 10:35:05,60.0,14.57,0.27,0.73,2330000.0,14.35,14.30,14.33,14.5892,
24/02/2021 10:40:05,60.0,14.55,0.25,0.71,2380000.0,14.35,14.30,14.33,14.5892,
24/02/2021 10:46:11,60.0,14.55,0.24,0.97,2470000.0,14.35,14.30,14.33,14.5892,
24/02/2021 10:50:04,60.0,14.54,0.24,0.87,2500000.0,14.35,14.30,14.33,14.5892,
24/02/2021 10:54:37,60.0,14.55,0.25,0.84,2570000.0,14.35,14.30,14.33,14.5892,
24/02/2021 10:55:05,60.0,14.55,0.25,0.85,2590000.0,14.35,14.30,14.33,14.5892,
24/02/2021 11:00:06,60.0,14.55,0.25,0.82,2630000.0,14.35,14.30,14.33,14.5892,
24/02/2021 11:05:04,61.0,14.60,0.30,0.95,2690000.0,14.35,14.30,14.33,14.6,
24/02/2021 11:10:05,61.0,14.61,0.31,1.04,2730000.0,14.35,14.30,14.33,14.605,
24/02/2021 11:15:05,61.0,14.63,0.33,1.09,2770000.0,14.35,14.30,14.33,14.631,
24/02/2021 11:20:04,61.0,14.61,0.31,1.29,2800000.0,14.35,14.30,14.33,14.631,
24/02/2021 11:25:04,61.0,14.62,0.32,1.19,2840000.0,14.35,14.30,14.33,14.631,
24/02/2021 11:30:05,61.0,14.59,0.29,1.09,2880000.0,14.35,14.30,14.33,14.631,
24/02/2021 11:35:04,61.0,14.61,0.31,1.21,2940000.0,14.35,14.30,14.33,14.631,
24/02/2021 11:40:05,61.0,14.63,0.33,1.34,2970000.0,14.35,14.30,14.33,14.631,
