Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 17:05:05,50.0,71.32,0.14,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:10:05,50.0,71.32,0.15,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:15:05,50.0,71.32,0.15,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:20:05,50.0,71.32,0.15,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:25:05,50.0,71.32,0.15,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:30:04,50.0,71.17,0.00,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:35:05,50.0,71.17,0.00,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:40:05,50.0,71.19,0.02,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:45:05,50.0,71.36,0.19,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:50:05,50.0,71.36,0.19,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 17:55:04,50.0,71.38,0.21,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:00:08,50.0,71.53,0.36,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:05:06,50.0,71.53,0.36,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:10:05,51.0,71.53,0.36,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:15:05,51.0,71.53,0.36,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:20:05,51.0,71.38,0.21,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:25:06,51.0,71.38,0.21,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:30:05,51.0,71.38,0.21,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:35:05,51.0,71.38,0.21,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:40:06,51.0,71.25,0.08,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:45:05,51.0,71.25,0.08,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:50:05,51.0,71.25,0.08,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 18:55:05,51.0,71.25,0.08,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:00:07,51.0,71.25,0.08,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:05:07,51.0,71.25,0.08,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:10:06,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:15:06,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:20:06,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:25:05,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:30:06,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:35:06,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
24/02/2021 19:40:06,51.0,71.25,0.03,-2.01,3800000.0,71.87,71.17,70.93,72.04,
