Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 08:05:06,50.0,175.20,-1.12,-0.64,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:10:07,50.0,175.05,-1.27,-0.72,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:15:06,50.0,174.90,-1.42,-0.81,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:20:07,50.0,174.92,-1.40,-0.79,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:25:07,50.0,174.62,-1.70,-0.96,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:30:06,50.0,174.99,-1.33,-0.75,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:35:06,50.0,174.76,-1.56,-0.88,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:40:06,50.0,174.92,-1.40,-0.79,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:45:07,50.0,175.50,-0.82,-0.47,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:50:06,50.0,175.63,-0.69,-0.39,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 08:55:05,50.0,175.99,-0.33,-0.19,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:00:09,50.0,175.94,-0.38,-0.22,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:05:07,54.0,174.49,-1.83,-1.04,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:10:06,54.0,175.78,-0.54,-0.31,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:15:08,54.0,175.80,-0.52,-0.29,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:20:07,54.0,175.80,-0.52,-0.29,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:25:06,54.0,175.23,-1.09,-0.62,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:30:05,54.0,176.32,2.82,1.63,1980000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:35:06,54.0,175.90,2.40,1.38,1990000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:40:06,54.0,178.93,5.43,3.13,2010000.0,174.36,176.32,173.52,180.55,
25/02/2021 09:45:07,54.0,179.40,3.08,1.75,67.82,174.41,176.32,174.41,179.4705,
25/02/2021 09:50:05,54.0,176.07,-0.25,-0.14,92.68,174.41,176.32,174.41,179.74,
25/02/2021 09:55:06,54.0,176.31,-0.01,-0.01,135.79,174.41,176.32,174.41,179.74,
25/02/2021 10:00:07,54.0,179.77,3.45,1.96,170.71,174.41,176.32,174.41,180.2,
25/02/2021 10:05:06,58.0,179.55,3.22,1.83,214.27,174.41,176.32,174.41,180.33,
