Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 10:05:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:10:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:15:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:20:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:25:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:30:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:35:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:40:11,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:45:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:50:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 10:55:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:00:13,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:05:12,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:10:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:15:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:20:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:25:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:30:08,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:35:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:40:08,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:45:07,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:50:08,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 11:55:09,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:00:10,50.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:05:10,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:10:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:15:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:20:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:25:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:30:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:35:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:40:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:45:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:50:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 12:55:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:00:11,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:05:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:10:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:15:10,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:20:06,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:25:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:30:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:35:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:40:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:45:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:50:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 13:55:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:00:12,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:05:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:10:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:15:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:20:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:25:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:30:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:35:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:40:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:45:06,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:50:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 14:55:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:00:10,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:05:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:10:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:15:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:20:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:25:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:30:10,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:35:10,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:40:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:45:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:50:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 15:55:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:00:11,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:05:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:10:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:15:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:20:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:25:09,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:30:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:35:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:40:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:45:07,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:50:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
27/02/2021 16:55:08,51.0,80.00,0.30,1.49,637.59,84.51,79.70,77.61,85.4461,
