Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 09:05:07,50.0,346.75,-1.28,-0.50,2880000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:10:08,50.0,347.39,-0.64,-0.50,2880000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:15:07,50.0,348.00,-0.03,-0.50,2880000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:20:07,50.0,347.38,-0.65,-0.50,2880000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:25:09,50.0,346.80,-1.23,-0.50,2880000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:30:06,50.0,348.03,2.37,-0.50,2880000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:35:08,50.0,346.71,1.05,-0.50,2900000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:40:07,50.0,348.17,2.51,-0.50,2910000.0,345.71,348.03,342.31,353.02,
26/02/2021 09:45:07,50.0,350.53,2.50,-0.50,101.75,346.2,348.03,344.2501,350.59,
26/02/2021 09:50:07,50.0,351.21,3.18,-3.29,163.74,346.2,348.03,344.06,352.08,
26/02/2021 09:55:08,50.0,350.85,2.82,-2.62,197.42,346.2,348.03,344.06,352.08,
26/02/2021 10:00:08,50.0,349.22,1.19,-2.62,243.63,346.2,348.03,344.06,352.08,
26/02/2021 10:05:08,52.0,349.10,1.07,-2.03,277.54,346.2,348.03,344.06,352.08,
26/02/2021 10:10:08,52.0,348.59,0.56,-2.03,315.93,346.2,348.03,344.06,352.08,
26/02/2021 10:15:06,52.0,347.19,-0.84,-2.03,348.99,346.2,348.03,344.06,352.08,
26/02/2021 10:20:07,52.0,347.43,-0.60,-2.03,383.9,346.2,348.03,344.06,352.08,
26/02/2021 10:25:07,52.0,347.30,-0.73,-2.03,407.49,346.2,348.03,344.06,352.08,
26/02/2021 10:30:07,52.0,345.58,-2.45,-2.03,448.92,346.2,348.03,344.06,352.08,
26/02/2021 10:35:26,52.0,346.33,-1.70,-2.03,502.09,346.2,348.03,344.06,352.08,
26/02/2021 10:40:10,52.0,348.87,0.84,-2.03,544.17,346.2,348.03,344.06,352.08,
26/02/2021 10:45:10,52.0,348.01,-0.02,-2.03,576.32,346.2,348.03,344.06,352.08,
26/02/2021 10:50:07,52.0,348.52,0.49,-2.03,616.97,346.2,348.03,344.06,352.08,
26/02/2021 10:55:08,52.0,347.56,-0.47,-3.37,648.38,346.2,348.03,344.06,352.08,
26/02/2021 11:00:07,52.0,347.21,-0.82,-3.37,658.27,346.2,348.03,344.06,352.08,
26/02/2021 11:05:11,52.0,347.50,-0.53,-2.39,678.35,346.2,348.03,344.06,352.08,
26/02/2021 11:10:07,52.0,347.65,-0.38,-2.60,691.3,346.2,348.03,344.06,352.08,
26/02/2021 11:15:06,52.0,348.74,0.71,-2.80,716.79,346.2,348.03,344.06,352.08,
26/02/2021 11:20:07,52.0,349.04,1.01,-2.80,739.95,346.2,348.03,344.06,352.08,
