Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 10:45:06,50.0,188.65,-2.33,-1.14,4420000.0,190.07,190.98,185.4501,190.52,
26/02/2021 10:50:06,50.0,188.84,-2.14,-1.14,4620000.0,190.07,190.98,185.4501,190.52,
26/02/2021 10:55:06,50.0,188.72,-2.27,-1.23,4840000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:00:07,50.0,188.78,-2.20,-1.14,5120000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:05:09,50.0,189.57,-1.41,-1.04,5320000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:10:07,51.0,189.41,-1.57,-0.95,5600000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:15:07,51.0,189.25,-1.73,-1.23,5820000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:20:03,51.0,188.82,-2.16,-1.09,5990000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:25:06,51.0,188.60,-2.38,-1.42,6250000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:30:05,51.0,188.97,-2.01,-1.51,6350000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:35:05,51.0,189.90,-1.08,-0.90,6520000.0,190.07,190.98,185.4501,190.52,
26/02/2021 11:40:07,51.0,190.56,-0.42,-0.76,6720000.0,190.07,190.98,185.4501,190.7,
26/02/2021 11:45:08,52.0,190.25,-0.73,-0.80,6830000.0,190.07,190.98,185.4501,190.7,
26/02/2021 11:50:07,52.0,189.99,-0.99,-0.76,6940000.0,190.07,190.98,185.4501,190.7,
26/02/2021 11:55:08,52.0,189.63,-1.35,-0.76,7010000.0,190.07,190.98,185.4501,190.7,
26/02/2021 12:00:10,52.0,190.15,-0.83,-0.85,7080000.0,190.07,190.98,185.4501,190.7,
26/02/2021 12:05:08,53.0,190.35,-0.63,-0.76,7170000.0,190.07,190.98,185.4501,190.7,
26/02/2021 12:10:07,53.0,190.80,-0.18,-0.76,7260000.0,190.07,190.98,185.4501,190.8,
26/02/2021 12:15:06,53.0,191.03,0.05,-0.66,7350000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:20:05,53.0,190.85,-0.13,-0.66,7500000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:25:07,53.0,190.45,-0.53,-0.66,7640000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:30:06,53.0,190.06,-0.92,-0.57,7800000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:35:05,53.0,190.09,-0.89,-0.57,7940000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:40:05,53.0,189.86,-1.12,-0.57,8050000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:45:07,53.0,189.59,-1.39,-0.57,8220000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:50:07,53.0,189.47,-1.51,-0.57,8380000.0,190.07,190.98,185.4501,191.17,
26/02/2021 12:55:05,53.0,189.55,-1.43,-0.57,8450000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:00:08,53.0,189.25,-1.73,-0.66,8500000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:05:07,53.0,188.93,-2.05,-0.66,8550000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:10:07,53.0,189.70,-1.28,-0.76,8610000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:15:07,53.0,189.71,-1.27,-0.76,8660000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:20:08,53.0,190.06,-0.92,-0.76,8750000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:25:07,53.0,190.46,-0.52,-0.66,8830000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:30:07,53.0,190.51,-0.47,-0.66,8920000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:35:08,53.0,190.04,-0.94,-0.66,8980000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:40:06,53.0,189.60,-1.38,-0.66,9050000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:45:07,53.0,190.08,-0.90,-0.66,9190000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:50:07,53.0,189.68,-1.30,-0.85,9300000.0,190.07,190.98,185.4501,191.17,
26/02/2021 13:55:08,53.0,189.41,-1.57,-0.85,9430000.0,190.07,190.98,185.4501,191.17,
26/02/2021 14:00:08,53.0,189.43,-1.55,-0.85,9580000.0,190.07,190.98,185.4501,191.17,
26/02/2021 14:05:06,53.0,189.39,-1.59,-0.85,9810000.0,190.07,190.98,185.4501,191.17,
26/02/2021 14:10:06,53.0,189.64,-1.34,-0.85,9960000.0,190.07,190.98,185.4501,191.17,
26/02/2021 14:15:06,53.0,189.50,-1.48,-0.80,10100000.0,190.07,190.98,185.4501,191.17,
