Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 02:05:06,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:10:05,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:15:05,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:20:05,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:25:05,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:30:06,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:35:04,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:40:06,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:45:04,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:50:06,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 02:55:05,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:00:06,54.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:05:04,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:10:05,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:15:05,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:20:05,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:25:05,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:30:06,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:35:04,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:40:05,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:45:04,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:50:06,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 03:55:06,58.0,60.24,-0.04,-0.07,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:00:07,58.0,60.30,-0.04,0.03,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:05:06,62.0,60.30,-0.04,0.03,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:10:06,62.0,60.27,-0.01,-0.02,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:15:05,62.0,60.27,-0.01,-0.02,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:20:06,62.0,60.30,0.02,0.03,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:25:06,62.0,60.40,0.12,0.20,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:30:05,62.0,60.50,0.22,0.36,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:35:05,62.0,60.50,0.22,0.36,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:40:04,62.0,60.50,0.22,0.36,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:45:04,62.0,60.20,-0.08,-0.13,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:50:04,62.0,60.00,-0.28,-0.46,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 04:55:06,62.0,60.00,-0.28,-0.46,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:00:06,62.0,60.95,0.67,1.11,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:05:06,62.0,60.28,0.00,0.00,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:10:06,62.0,60.05,-0.23,-0.38,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:15:05,62.0,60.06,-0.22,-0.36,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:20:05,62.0,60.05,-0.23,-0.38,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:25:05,62.0,59.99,-0.29,-0.48,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:30:07,62.0,59.99,-0.29,-0.48,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:35:04,62.0,60.00,-0.28,-0.46,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:40:06,62.0,60.00,-0.28,-0.46,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:45:05,62.0,60.00,-0.28,-0.46,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:50:06,62.0,59.58,-0.70,-1.16,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 05:55:04,62.0,59.92,-0.36,-0.60,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 06:00:06,62.0,59.90,-0.38,-0.63,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 06:05:05,66.0,59.90,-0.38,-0.63,7360000.0,60.5153,60.28,58.24,60.83,
25/02/2021 06:10:06,66.0,59.90,-0.38,-0.63,7360000.0,60.5153,60.28,58.24,60.83,
