Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 14:05:31,51.0,113.86,4.14,4.36,111,112.66,109.72,110.54,113.86,
01/03/2021 14:10:13,51.0,114.20,4.47,4.23,111.61,112.66,109.72,110.54,114.195,
01/03/2021 14:15:17,51.0,114.20,4.47,3.72,111.88,112.66,109.72,110.54,114.195,
01/03/2021 14:20:09,51.0,114.20,4.47,3.50,112.82,112.66,109.72,110.54,114.195,
01/03/2021 14:25:06,51.0,113.53,3.81,3.92,113.98,112.66,109.72,110.54,114.21,
01/03/2021 14:30:15,51.0,113.53,3.81,3.51,114.38,112.66,109.72,110.54,114.21,
01/03/2021 14:35:30,51.0,113.90,4.18,3.78,114.58,112.66,109.72,110.54,114.21,
01/03/2021 14:40:07,51.0,113.90,4.18,3.80,115.79,112.66,109.72,110.54,114.21,
01/03/2021 14:45:10,51.0,113.90,4.18,4.01,115.88,112.66,109.72,110.54,114.21,
01/03/2021 14:50:11,51.0,114.04,4.32,3.83,116.58,112.66,109.72,110.54,114.21,
01/03/2021 14:55:15,51.0,114.51,4.79,4.06,117.24,112.66,109.72,110.54,114.68,
01/03/2021 15:00:12,51.0,114.58,4.86,4.25,118.3,112.66,109.72,110.54,114.68,
01/03/2021 15:05:32,51.0,114.52,4.80,4.48,119.81,112.66,109.72,110.54,114.68,
01/03/2021 15:10:09,51.0,114.90,5.18,4.39,121.2,112.66,109.72,110.54,114.9,
01/03/2021 15:15:14,51.0,114.90,5.18,4.35,122.16,112.66,109.72,110.54,114.9,
01/03/2021 15:20:24,51.0,114.59,4.87,4.29,123.17,112.66,109.72,110.54,114.9,
01/03/2021 15:25:15,51.0,114.93,5.20,4.31,124.96,112.66,109.72,110.54,114.97,
01/03/2021 15:30:13,51.0,115.25,5.53,4.55,126.81,112.66,109.72,110.54,115.34,
01/03/2021 15:35:11,51.0,114.94,5.22,4.36,131.1,112.66,109.72,110.54,115.42,
01/03/2021 15:40:13,51.0,114.91,5.19,4.26,134.28,112.66,109.72,110.54,115.42,
01/03/2021 15:45:17,51.0,114.60,4.88,4.06,137.33,112.66,109.72,110.54,115.42,
01/03/2021 15:50:19,51.0,114.46,4.74,3.85,140.33,112.66,109.72,110.54,115.42,
01/03/2021 15:55:22,51.0,114.72,5.00,3.64,143.49,112.66,109.72,110.54,115.42,
01/03/2021 16:00:17,51.0,114.47,-0.27,3.64,147.4,112.66,114.74,110.54,115.42,
