Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,52.0,62.10,-0.02,-0.03,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 17:35:03,52.0,62.10,-0.02,-0.03,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 17:40:03,52.0,62.10,-0.02,-0.03,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 17:45:03,52.0,62.10,-0.02,-0.03,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 17:50:03,52.0,62.10,-0.02,-0.03,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 17:55:03,52.0,62.10,-0.02,-0.03,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:00:03,52.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:05:04,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:10:04,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:15:04,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:20:04,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:25:03,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:30:03,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:35:03,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:40:04,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:45:04,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:50:03,54.0,62.51,0.39,0.63,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 18:55:03,54.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:00:04,54.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:05:04,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:10:04,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:15:04,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:20:04,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:25:04,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:30:04,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:35:03,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:40:03,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:45:03,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:50:03,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 19:55:03,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:00:03,56.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:05:03,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:10:03,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:15:03,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:20:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:25:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:30:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:35:03,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:40:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:45:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:50:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 20:55:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:00:04,58.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:05:03,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:10:03,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:15:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:20:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:25:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:30:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:35:03,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:40:03,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:45:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:50:03,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 21:55:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:00:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:05:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:10:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:15:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:20:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:25:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:30:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:35:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:40:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:45:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:50:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 22:55:04,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:00:03,60.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:05:03,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:10:03,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:15:04,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:20:03,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:25:03,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:30:04,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:35:04,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:40:03,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:45:04,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
23/02/2021 23:55:04,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:00:04,63.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:05:03,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:10:03,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:15:04,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:20:03,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:25:04,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:30:03,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:35:04,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:40:04,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:45:03,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:50:03,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 00:55:04,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:00:04,66.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:05:04,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:10:03,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:15:03,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:20:04,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:25:04,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:30:04,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:35:03,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:40:03,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:45:03,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:50:04,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 01:55:03,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:00:04,70.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:05:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:10:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:15:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:20:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:25:03,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:30:03,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:35:03,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:40:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:45:03,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:50:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 02:55:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:00:04,74.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:05:03,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:10:03,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:15:03,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:20:04,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:25:04,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:30:05,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
24/02/2021 03:35:03,78.0,62.50,0.38,0.61,4150000.0,62.94,62.12,61.51,62.97,
