Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 08:55:10,52.0,23.02,0.14,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:00:14,52.0,23.02,0.14,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:05:12,52.0,23.02,0.14,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:10:11,52.0,23.06,0.18,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:15:10,52.0,23.03,0.15,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:20:12,52.0,23.00,0.12,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:25:09,52.0,23.00,0.12,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:30:10,52.0,22.88,-0.61,-0.64,492.35,23.09,22.88,22.73,23.1,
01/03/2021 09:35:10,52.0,23.01,0.13,-0.64,1.6,23.01,22.88,23.01,23.03,
01/03/2021 09:40:13,52.0,23.06,0.18,-0.64,7.37,23.01,22.88,23.01,23.07,
01/03/2021 09:45:11,52.0,23.13,0.25,0.78,11.69,23.02,22.88,23.01,23.13,
01/03/2021 09:50:12,52.0,23.14,0.26,0.78,20.29,23.02,22.88,23.01,23.14,
01/03/2021 09:55:10,52.0,23.13,0.25,1.05,28.03,23.02,22.88,23.01,23.1478,
01/03/2021 10:00:16,52.0,23.10,0.22,1.29,24,23.02,22.88,23.01,23.1478,
01/03/2021 10:05:10,53.0,23.11,0.23,1.61,25.56,23.02,22.88,23.01,23.17,
01/03/2021 10:10:11,53.0,23.12,0.24,1.52,27.6,23.02,22.88,23.01,23.17,
01/03/2021 10:15:13,53.0,23.12,0.24,1.18,28.7,23.02,22.88,23.01,23.17,
01/03/2021 10:20:08,53.0,23.17,0.29,1.29,30.18,23.02,22.88,23.01,23.18,
01/03/2021 10:25:12,53.0,23.13,0.25,1.29,34.68,23.02,22.88,23.01,23.18,
01/03/2021 10:30:11,53.0,23.15,0.27,1.84,35.74,23.02,22.88,23.01,23.18,
01/03/2021 10:35:08,53.0,23.08,0.20,1.84,36.7,23.02,22.88,23.01,23.18,
01/03/2021 10:40:14,53.0,23.08,0.20,1.88,40.95,23.02,22.88,23.01,23.18,
01/03/2021 10:45:11,53.0,23.10,0.22,1.65,40.97,23.02,22.88,23.01,23.18,
01/03/2021 10:50:09,53.0,23.10,0.22,1.49,41.87,23.02,22.88,23.01,23.18,
01/03/2021 10:55:09,53.0,23.09,0.21,1.33,43.24,23.02,22.88,23.01,23.18,
01/03/2021 11:00:12,53.0,23.15,0.27,1.33,44.48,23.02,22.88,23.01,23.18,
01/03/2021 11:05:14,54.0,23.07,0.19,1.18,44.86,23.02,22.88,23.01,23.18,
01/03/2021 11:10:10,54.0,23.12,0.24,1.18,47.2,23.02,22.88,23.01,23.18,
01/03/2021 11:15:10,54.0,23.12,0.24,1.18,48.58,23.02,22.88,23.01,23.18,
01/03/2021 11:20:08,54.0,23.12,0.24,1.18,48.1,23.02,22.88,23.01,23.18,
01/03/2021 11:25:10,54.0,23.09,0.21,1.33,48.71,23.02,22.88,23.01,23.18,
01/03/2021 11:30:10,54.0,23.09,0.21,1.33,49.15,23.02,22.88,23.01,23.18,
01/03/2021 11:35:11,54.0,23.10,0.22,1.33,49.57,23.02,22.88,23.01,23.18,
01/03/2021 11:40:08,54.0,23.08,0.20,1.88,50.01,23.02,22.88,23.01,23.18,
01/03/2021 11:45:11,54.0,23.08,0.20,1.88,51.4,23.02,22.88,23.01,23.18,
01/03/2021 11:50:11,54.0,23.06,0.18,1.18,53.21,23.02,22.88,23.01,23.18,
01/03/2021 11:55:12,54.0,23.04,0.16,0.86,53.89,23.02,22.88,23.01,23.18,
01/03/2021 12:00:15,54.0,23.02,0.14,0.86,54.27,23.02,22.88,23.01,23.18,
01/03/2021 12:05:24,54.0,23.02,0.14,0.86,54.65,23.02,22.88,23.01,23.18,
01/03/2021 12:10:14,54.0,23.06,0.18,1.26,54.72,23.02,22.88,23.01,23.18,
01/03/2021 12:15:19,54.0,23.06,0.18,0.31,56.04,23.02,22.88,23.01,23.18,
01/03/2021 12:20:17,54.0,23.04,0.16,0.31,56.3,23.02,22.88,23.01,23.18,
01/03/2021 12:25:10,54.0,23.09,0.21,1.49,58.01,23.02,22.88,23.01,23.18,
01/03/2021 12:30:10,54.0,23.05,0.17,1.49,58.87,23.02,22.88,23.01,23.18,
01/03/2021 12:35:14,54.0,23.05,0.17,0.94,60.42,23.02,22.88,23.01,23.18,
01/03/2021 12:40:11,54.0,23.05,0.17,0.90,63.25,23.02,22.88,23.01,23.18,
01/03/2021 12:45:21,54.0,23.03,0.15,0.90,64.14,23.02,22.88,23.01,23.18,
01/03/2021 12:50:13,54.0,23.00,0.12,0.90,71.53,23.02,22.88,22.9922,23.18,
01/03/2021 12:55:18,54.0,23.00,0.12,0.90,75.44,23.02,22.88,22.9922,23.18,
01/03/2021 13:00:15,54.0,22.93,0.05,1.18,81.09,23.02,22.88,22.9111,23.18,
01/03/2021 13:05:12,54.0,22.90,0.02,0.39,83.71,23.02,22.88,22.88,23.18,
01/03/2021 13:10:15,54.0,22.88,0.00,0.82,85.41,23.02,22.88,22.88,23.18,
01/03/2021 13:15:11,54.0,22.87,-0.02,0.82,100.7,23.02,22.88,22.85,23.18,
01/03/2021 13:20:12,54.0,22.87,-0.01,0.82,105.04,23.02,22.88,22.85,23.18,
01/03/2021 13:25:15,54.0,22.84,-0.04,0.75,108.12,23.02,22.88,22.84,23.18,
01/03/2021 13:35:15,54.0,22.87,-0.01,0.59,130.89,23.02,22.88,22.84,23.18,
01/03/2021 13:40:12,54.0,22.93,0.05,0.59,133.4,23.02,22.88,22.84,23.18,
01/03/2021 13:45:12,54.0,22.91,0.03,0.59,141.98,23.02,22.88,22.84,23.18,
01/03/2021 13:50:14,54.0,22.92,0.04,0.59,148.55,23.02,22.88,22.84,23.18,
01/03/2021 13:55:35,54.0,22.92,0.04,0.59,155.1,23.02,22.88,22.84,23.18,
01/03/2021 14:00:35,54.0,22.94,0.06,0.39,158.1,23.02,22.88,22.84,23.18,
01/03/2021 14:05:33,54.0,22.95,0.07,0.49,161.51,23.02,22.88,22.84,23.18,
01/03/2021 14:10:16,54.0,22.92,0.04,0.78,165.35,23.02,22.88,22.84,23.18,
01/03/2021 14:15:17,54.0,22.93,0.05,0.39,167.92,23.02,22.88,22.84,23.18,
01/03/2021 14:20:12,54.0,22.93,0.05,0.39,174.06,23.02,22.88,22.84,23.18,
01/03/2021 14:25:14,54.0,22.92,0.04,0.39,178.81,23.02,22.88,22.84,23.18,
01/03/2021 14:30:19,54.0,22.93,0.05,0.78,181.48,23.02,22.88,22.84,23.18,
01/03/2021 14:35:33,54.0,22.96,0.08,0.78,188.3,23.02,22.88,22.84,23.18,
01/03/2021 14:40:12,54.0,23.00,0.12,0.71,191.21,23.02,22.88,22.84,23.18,
01/03/2021 14:45:11,54.0,22.99,0.11,0.71,194.61,23.02,22.88,22.84,23.18,
01/03/2021 14:50:14,54.0,23.01,0.13,0.78,199.82,23.02,22.88,22.84,23.18,
01/03/2021 14:55:26,54.0,22.99,0.11,0.78,208.92,23.02,22.88,22.84,23.18,
01/03/2021 15:00:16,54.0,22.98,0.10,0.78,210.49,23.02,22.88,22.84,23.18,
01/03/2021 15:05:45,54.0,22.97,0.09,0.78,213.42,23.02,22.88,22.84,23.18,
01/03/2021 15:10:11,54.0,22.93,0.05,1.18,219.87,23.02,22.88,22.84,23.18,
01/03/2021 15:15:13,54.0,22.93,0.05,1.18,224.95,23.02,22.88,22.84,23.18,
01/03/2021 15:20:24,54.0,22.95,0.07,1.18,229.94,23.02,22.88,22.84,23.18,
01/03/2021 15:25:15,54.0,22.97,0.09,0.79,235.82,23.02,22.88,22.84,23.18,
01/03/2021 15:30:20,54.0,22.98,0.10,0.86,240.77,23.02,22.88,22.84,23.18,
01/03/2021 15:35:11,54.0,22.97,0.09,0.82,245.44,23.02,22.88,22.84,23.18,
01/03/2021 15:40:12,54.0,22.94,0.06,1.06,248.43,23.02,22.88,22.84,23.18,
01/03/2021 15:45:19,54.0,22.95,0.07,1.02,258.15,23.02,22.88,22.84,23.18,
01/03/2021 15:50:24,54.0,22.92,0.04,1.41,266.47,23.02,22.88,22.84,23.18,
01/03/2021 15:55:19,54.0,22.93,0.05,1.25,273.73,23.02,22.88,22.84,23.18,
02/03/2021 05:00:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:05:09,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:10:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:15:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:20:12,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:25:08,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:30:12,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:35:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:40:12,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:45:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:50:08,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 05:55:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:00:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:05:08,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:10:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:15:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:20:09,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:25:09,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:30:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:35:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:40:09,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:45:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:50:09,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 06:55:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:00:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:05:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:10:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:15:12,54.0,22.73,-0.24,-1.04,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:20:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:25:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:30:08,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:35:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:40:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:45:10,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:50:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 07:55:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:00:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:05:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:10:11,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:15:12,54.0,22.73,-0.24,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:20:12,54.0,22.83,-0.14,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:25:09,54.0,22.83,-0.14,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:30:11,54.0,22.83,-0.14,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:35:12,54.0,22.83,-0.14,0.76,336.31,23.02,22.97,22.84,23.18,
02/03/2021 08:40:10,54.0,22.83,-0.14,0.76,336.31,23.02,22.97,22.84,23.18,
