Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,56.0,7.67,-0.05,0.79,33280000.0,7.57,7.72,7.11,7.72,
23/02/2021 17:35:03,56.0,7.67,-0.05,0.79,33280000.0,7.57,7.72,7.11,7.72,
23/02/2021 17:40:03,56.0,7.68,-0.04,0.79,33280000.0,7.57,7.72,7.11,7.72,
23/02/2021 17:45:03,56.0,7.70,-0.02,0.79,33280000.0,7.57,7.72,7.11,7.72,
23/02/2021 17:50:04,56.0,7.70,-0.02,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 17:55:03,56.0,7.70,-0.02,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:00:03,56.0,7.70,-0.02,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:05:04,56.0,7.70,-0.02,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:10:04,56.0,7.70,-0.02,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:15:04,56.0,7.66,-0.06,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:20:03,56.0,7.69,-0.03,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:25:04,56.0,7.69,-0.03,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:30:03,56.0,7.72,0.00,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:35:03,56.0,7.72,0.00,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:40:04,56.0,7.72,0.00,0.79,33290000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:45:04,56.0,7.72,0.00,0.79,33300000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:50:03,56.0,7.72,0.00,0.79,33300000.0,7.57,7.72,7.11,7.72,
23/02/2021 18:55:03,56.0,7.72,0.00,0.79,33300000.0,7.57,7.72,7.11,7.72,
23/02/2021 19:00:04,56.0,7.71,-0.01,0.79,33300000.0,7.57,7.72,7.11,7.72,
23/02/2021 19:05:04,65.0,7.71,-0.01,0.79,33300000.0,7.57,7.72,7.11,7.72,
23/02/2021 19:10:04,65.0,7.71,-0.01,0.79,33300000.0,7.57,7.72,7.11,7.72,
23/02/2021 19:15:04,65.0,7.72,0.00,0.79,33300000.0,7.57,7.72,7.11,7.72,
