Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 10:45:10,50.0,215.58,18.00,0.52,4560000.0,224.0,197.58,206.37,232.29,
26/02/2021 10:50:08,50.0,218.39,20.81,0.75,4720000.0,224.0,197.58,206.37,232.29,
26/02/2021 10:55:08,50.0,218.23,20.65,0.78,4910000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:00:07,50.0,219.83,22.25,0.88,5090000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:05:10,50.0,220.65,23.07,1.07,5250000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:10:05,51.0,221.50,23.92,0.83,5360000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:15:05,51.0,219.50,21.92,0.61,5470000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:20:06,51.0,218.05,20.47,0.48,5570000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:25:06,51.0,217.73,20.15,0.47,5650000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:30:05,51.0,218.99,21.41,0.70,5740000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:35:05,51.0,222.48,24.90,1.15,5820000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:40:06,51.0,221.33,23.75,1.33,5890000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:45:10,51.0,221.35,23.77,1.31,5950000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:50:07,51.0,222.09,24.51,1.19,6050000.0,224.0,197.58,206.37,232.29,
26/02/2021 11:55:08,51.0,221.50,23.92,1.18,6110000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:00:08,51.0,224.73,27.15,1.48,6230000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:05:06,52.0,224.29,26.71,1.47,6340000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:10:07,52.0,225.00,27.42,1.86,6410000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:15:06,52.0,224.95,27.37,2.06,6520000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:20:06,52.0,225.82,28.24,2.03,6620000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:25:07,52.0,223.99,26.41,1.99,6710000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:30:06,52.0,222.75,25.17,1.64,6790000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:35:05,52.0,223.35,25.77,1.82,6890000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:40:06,52.0,223.22,25.64,1.36,6980000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:45:05,52.0,223.14,25.56,1.38,7060000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:50:06,52.0,222.90,25.32,1.47,7130000.0,224.0,197.58,206.37,232.29,
26/02/2021 12:55:06,52.0,225.38,27.80,1.54,7230000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:00:08,52.0,224.59,27.01,1.20,7300000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:05:06,52.0,222.26,24.68,0.96,7370000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:10:07,52.0,223.67,26.09,1.33,7460000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:15:08,52.0,222.60,25.02,1.16,7500000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:20:06,52.0,224.72,27.14,1.43,7570000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:25:06,52.0,223.81,26.23,1.63,7630000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:30:06,52.0,223.10,25.52,1.61,7690000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:35:08,52.0,222.14,24.56,1.38,7740000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:40:06,52.0,220.80,23.22,1.15,7800000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:45:06,52.0,222.26,24.68,1.22,7850000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:50:07,52.0,221.78,24.20,0.87,7920000.0,224.0,197.58,206.37,232.29,
26/02/2021 13:55:08,52.0,221.65,24.07,0.80,7960000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:00:09,52.0,222.14,24.56,0.80,8020000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:05:06,52.0,222.03,24.45,0.54,8120000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:10:06,52.0,221.10,23.52,0.65,8160000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:15:06,52.0,221.32,23.74,0.66,8200000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:20:07,52.0,219.34,21.76,0.57,8270000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:25:07,52.0,219.55,21.97,0.44,8320000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:30:07,52.0,218.85,21.27,0.78,8450000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:35:07,52.0,221.01,23.43,1.20,8510000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:40:08,52.0,219.23,21.65,1.13,8550000.0,224.0,197.58,206.37,232.29,
26/02/2021 14:45:06,52.0,218.37,20.79,0.97,8560000.0,224.0,197.58,206.37,232.29,
