Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 17:35:03,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 17:40:03,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 17:45:03,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 17:50:03,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 17:55:03,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:00:03,98.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:05:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:10:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:15:03,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:20:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:25:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:30:03,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:35:03,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:40:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:45:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:50:03,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 18:55:03,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:00:04,102.0,72.51,-1.01,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:05:04,109.0,70.01,-3.50,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:10:04,109.0,70.01,-3.50,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:15:03,109.0,70.01,-3.50,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:20:04,109.0,70.01,-3.50,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:25:03,109.0,70.01,-3.50,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:30:03,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:35:08,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:40:04,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:45:03,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:50:03,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 19:55:03,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:00:04,109.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:05:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:10:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:15:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:20:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:25:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:30:03,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:35:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:40:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:45:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:50:03,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 20:55:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:00:04,112.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:05:03,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:10:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:15:03,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:20:03,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:25:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:30:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:35:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:40:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:45:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:50:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 21:55:03,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:00:04,116.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:05:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:10:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:15:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:20:03,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:25:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:30:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:35:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:40:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:45:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:50:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 22:55:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:00:04,120.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:05:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:10:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:15:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:20:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:25:03,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:30:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:35:05,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:40:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:45:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:50:03,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
23/02/2021 23:55:04,122.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:05:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:10:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:15:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:20:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:25:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:30:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:35:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:40:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:45:05,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:50:04,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 00:55:05,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:00:05,124.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:05:05,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:10:05,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:15:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:20:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:25:05,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:30:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:35:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:40:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:45:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:50:05,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 01:55:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:00:04,126.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:05:04,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:10:05,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:15:05,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:20:04,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:25:04,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:30:05,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:35:03,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:40:04,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:45:04,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:50:05,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 02:55:05,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 03:00:05,134.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 03:05:04,142.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 03:10:04,142.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 03:15:05,142.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
24/02/2021 03:20:05,142.0,75.00,1.49,4.96,4640000.0,72.98,73.51,72.61,73.59,
