Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 15:10:05,51.0,124.88,-4.12,-3.04,315.05,129.62,129.00,124.46,129.9207,
25/02/2021 15:15:07,51.0,124.97,-4.04,-3.13,319.02,129.62,129.00,124.46,129.9207,
25/02/2021 15:20:05,51.0,124.72,-4.28,-3.31,339.81,129.62,129.00,124.46,129.9207,
25/02/2021 15:25:06,51.0,125.00,-4.00,-3.46,352,129.62,129.00,124.46,129.9207,
25/02/2021 15:30:06,51.0,124.58,-4.43,-3.30,354.96,129.62,129.00,124.46,129.9207,
25/02/2021 15:35:06,51.0,124.09,-4.91,-3.52,368.16,129.62,129.00,124.0,129.9207,
25/02/2021 15:40:06,51.0,124.10,-4.90,-3.65,374.06,129.62,129.00,123.8,129.9207,
25/02/2021 15:45:05,51.0,124.11,-4.89,-3.03,377.67,129.62,129.00,123.8,129.9207,
25/02/2021 15:50:07,51.0,123.95,-5.05,-3.04,391.52,129.62,129.00,123.8,129.9207,
25/02/2021 15:55:04,51.0,123.32,-5.68,-3.35,413.13,129.62,129.00,123.05,129.9207,
25/02/2021 16:05:08,51.0,123.56,-0.20,-3.18,447.43,129.62,123.76,123.05,129.9207,
25/02/2021 16:10:06,53.0,123.56,-0.20,-3.18,487.89,129.62,123.76,123.05,129.9207,
25/02/2021 16:15:06,53.0,123.56,-0.20,-3.24,521.02,129.62,123.56,123.05,129.9207,
25/02/2021 16:20:06,53.0,123.56,0.00,-3.24,525.39,129.62,123.56,123.05,129.9207,
25/02/2021 16:25:07,53.0,123.56,0.00,-3.24,525.39,129.62,123.56,123.05,129.9207,
25/02/2021 16:30:06,53.0,123.56,0.00,-3.24,525.39,129.62,123.56,123.05,129.9207,
25/02/2021 16:35:06,53.0,123.56,0.00,-3.24,525.39,129.62,123.56,123.05,129.9207,
25/02/2021 16:40:06,53.0,123.56,0.00,-3.24,525.39,129.62,123.56,123.05,129.9207,
25/02/2021 16:45:05,53.0,123.56,0.00,-3.24,525.39,129.62,123.56,123.05,129.9207,
25/02/2021 16:50:06,53.0,123.56,0.00,-3.24,533.51,129.62,123.56,123.05,129.9207,
25/02/2021 16:55:06,53.0,129.00,5.44,-3.24,533.51,129.62,123.56,123.05,129.9207,
25/02/2021 17:00:04,53.0,129.00,5.44,-3.24,533.51,129.62,123.56,123.05,129.9207,
25/02/2021 17:05:09,53.0,129.00,5.44,-3.24,533.51,129.62,123.56,123.05,129.9207,
25/02/2021 17:10:06,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:15:05,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:20:05,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:25:06,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:30:04,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:35:07,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:40:05,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:45:07,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:50:06,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 17:55:06,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:00:04,55.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:05:06,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:10:08,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:15:06,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:20:04,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:25:05,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:30:06,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:35:05,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:40:06,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:45:06,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:50:06,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 18:55:05,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 19:00:07,58.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 19:05:11,61.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 19:10:06,61.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
25/02/2021 19:15:06,61.0,129.00,5.44,-3.24,533.66,129.62,123.56,123.05,129.9207,
