Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
25/02/2021 16:05:10,50.0,11.79,0.00,0.00,70970000.0,12.22,11.79,11.72,12.4,
25/02/2021 16:10:08,50.0,11.79,0.00,0.00,72310000.0,12.22,11.79,11.72,12.4,
25/02/2021 16:15:07,50.0,11.84,0.05,-0.05,72500000.0,12.22,11.79,11.72,12.4,
25/02/2021 16:20:05,50.0,11.82,0.06,-0.05,74450000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:25:06,50.0,11.80,0.04,-0.05,74470000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:30:07,50.0,11.78,0.02,-0.05,74500000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:35:06,50.0,11.82,0.05,-0.05,74520000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:40:07,50.0,11.81,0.04,-0.05,74530000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:45:08,50.0,11.82,0.06,-0.05,74540000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:50:07,50.0,11.81,0.05,-0.05,74590000.0,12.22,11.76,11.72,12.4,
25/02/2021 16:55:06,50.0,11.80,0.04,-0.05,74600000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:00:08,50.0,11.79,0.03,-0.05,74610000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:05:09,52.0,11.78,0.02,-0.05,74980000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:10:06,52.0,11.78,0.02,-0.05,74990000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:15:07,52.0,11.76,0.00,-0.05,74990000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:20:06,52.0,11.76,0.00,-0.05,75000000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:25:06,52.0,11.75,-0.01,-0.05,75010000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:30:07,52.0,11.76,0.00,-0.05,75030000.0,12.22,11.76,11.72,12.4,
25/02/2021 17:35:06,52.0,11.73,-0.03,-0.05,75030000.0,12.22,11.76,11.72,12.4,
