Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
23/02/2021 17:34:43,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 17:35:03,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 17:40:03,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 17:45:03,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 17:50:04,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 17:55:03,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:00:03,73.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:05:04,75.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:10:03,75.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:15:04,75.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:20:04,75.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:25:03,75.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:30:03,75.0,46.80,0.00,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:35:03,75.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:40:03,75.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:45:03,75.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:50:03,75.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 18:55:03,75.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:00:04,75.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:05:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:10:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:15:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:20:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:25:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:30:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:35:08,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:40:03,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:45:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:50:03,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 19:55:03,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 20:00:04,78.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
23/02/2021 20:05:04,80.0,46.68,-0.12,0.72,3200000.0,46.29,46.80,45.72,46.915,
