Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 20:05:13,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:10:06,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:15:10,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:20:09,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:25:05,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:30:07,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:35:09,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:40:05,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:45:08,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:50:06,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 20:55:06,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:00:06,50.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:05:06,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:10:05,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:15:07,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:20:10,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:25:07,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:30:06,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:35:07,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:40:05,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:45:07,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:50:06,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 21:55:08,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:00:11,51.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:05:10,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:10:06,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:15:09,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:20:07,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:25:07,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:30:07,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:35:06,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:40:07,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:45:06,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:50:07,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 22:55:05,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:00:07,52.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:05:32,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:10:17,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:15:08,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:20:12,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:25:09,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:30:09,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:35:05,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:40:14,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:45:08,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:50:06,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
26/02/2021 23:55:09,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:00:10,53.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:05:06,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:10:05,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:15:07,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:20:12,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:25:06,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:30:08,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:35:06,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:40:07,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:45:09,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:50:07,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 00:55:07,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:00:08,54.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:05:06,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:10:06,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:15:07,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:20:07,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:25:07,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:30:05,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:35:08,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:40:08,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:45:09,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:50:08,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 01:55:07,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:00:10,55.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:05:08,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:10:06,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:15:06,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:20:07,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:25:07,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:30:08,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:35:06,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:40:07,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:45:07,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:50:06,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 02:55:07,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 03:00:08,56.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
27/02/2021 03:05:06,58.0,8.54,0.00,-0.50,34.85,8.24,8.54,8.2001,8.7999,
