Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 02:10:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:15:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:20:05,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:25:05,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:30:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:35:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:40:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:45:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:50:06,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 02:55:07,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:00:11,51.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:05:05,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:10:04,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:15:07,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:20:05,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:25:03,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:30:04,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:35:03,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:40:03,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:45:05,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:50:05,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 03:55:05,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:00:07,53.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:05:06,55.0,255.05,0.36,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:10:04,55.0,254.64,-0.05,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:15:07,55.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:20:09,55.0,255.21,0.52,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:25:03,55.0,254.50,-0.19,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:30:07,55.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:35:05,55.0,254.65,-0.04,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:40:05,55.0,254.99,0.30,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:45:07,55.0,254.99,0.30,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:50:05,55.0,255.14,0.45,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 04:55:05,55.0,255.56,0.87,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:00:03,55.0,255.48,0.79,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:05:03,57.0,255.35,0.66,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:10:06,57.0,254.48,-0.21,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:15:06,57.0,254.48,-0.21,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:20:06,57.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:25:07,57.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:30:06,57.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:35:06,57.0,254.90,0.21,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:40:04,57.0,255.23,0.54,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:45:06,57.0,254.74,0.05,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:50:06,57.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 05:55:07,57.0,254.50,-0.19,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:00:10,57.0,254.16,-0.53,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:05:06,59.0,254.00,-0.69,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:10:03,59.0,254.00,-0.69,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:15:05,59.0,254.00,-0.69,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:20:04,59.0,253.65,-1.04,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:25:06,59.0,253.65,-1.04,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:30:03,59.0,253.35,-1.34,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:35:07,59.0,252.69,-2.00,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:40:06,59.0,252.79,-1.90,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:45:04,59.0,253.05,-1.64,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:50:08,59.0,253.03,-1.66,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 06:55:03,59.0,253.26,-1.43,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:00:09,59.0,253.26,-1.43,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:05:05,61.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:10:05,61.0,254.63,-0.06,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:15:03,61.0,253.94,-0.75,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:20:05,61.0,255.00,0.31,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:25:06,61.0,255.55,0.86,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:30:04,61.0,255.51,0.82,-2.37,19050000.0,262.3,254.69,254.04,266.94,
26/02/2021 07:35:06,61.0,255.70,1.01,-2.37,19050000.0,262.3,254.69,254.04,266.94,
