Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 22:05:11,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:10:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:15:11,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:20:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:25:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:35:09,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:40:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:45:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:50:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 22:55:10,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:00:12,50.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:05:08,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:10:08,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:15:09,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:20:09,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:25:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:30:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:35:09,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:40:13,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:45:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:50:09,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
28/02/2021 23:55:08,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:00:12,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:05:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:10:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:15:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:20:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:25:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:30:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:35:08,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:40:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:45:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:50:12,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 00:55:10,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 01:00:14,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 01:05:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 01:10:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 01:15:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
01/03/2021 01:20:11,51.0,61.00,-0.94,-1.29,348.55,63.07,61.94,59.63,63.99,
