Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 21:05:07,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:10:07,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:15:06,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:20:06,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:25:08,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:30:08,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:35:08,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:40:08,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:45:08,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:50:07,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 21:55:07,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:00:08,52.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:05:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:10:10,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:15:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:20:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:25:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:30:08,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:35:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:40:08,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:45:08,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:50:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 22:55:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:00:07,58.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:05:06,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:10:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:15:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:20:10,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:25:07,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:30:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:35:07,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:40:06,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:45:07,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:50:07,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
27/02/2021 23:55:07,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:00:07,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:05:10,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:10:09,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:15:10,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:20:09,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:25:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:30:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:35:09,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:40:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:45:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:50:08,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 00:55:09,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:00:13,64.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:05:08,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:10:10,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:15:09,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:20:08,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:25:08,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:30:07,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:35:07,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:40:10,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:45:10,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:50:08,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 01:55:06,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:00:09,70.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:05:09,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:10:07,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:15:07,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:20:07,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:25:08,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:30:09,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:35:09,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:40:07,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:45:07,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:50:08,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 02:55:07,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:00:10,76.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:05:07,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:10:08,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:15:08,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:20:07,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:25:07,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:30:08,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:35:07,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
28/02/2021 03:40:07,82.0,48.10,0.01,-3.59,5800000.0,49.56,48.09,47.42,50.25,
