Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 15:05:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:10:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:15:07,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:20:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:25:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:30:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:35:07,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:40:07,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:45:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:50:07,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 15:55:06,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:00:09,52.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:05:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:10:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:15:03,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:20:08,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:25:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:30:03,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:35:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:40:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:45:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:50:08,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 16:55:06,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 17:00:04,55.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 17:05:06,57.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 17:10:06,57.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 17:15:07,57.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
27/02/2021 17:20:08,57.0,11.87,-0.02,-1.72,1240000.0,10.78,11.89,10.3,12.26,
