Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
24/02/2021 00:05:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:10:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:15:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:20:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:25:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:30:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:35:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:40:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:45:04,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:50:03,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 00:55:05,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:00:05,50.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:05:05,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:10:05,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:15:04,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:20:04,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:25:05,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:30:05,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:35:04,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:40:04,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:45:04,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:50:05,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 01:55:04,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:00:05,51.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:05:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:10:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:15:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:20:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:25:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:30:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:35:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:40:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:45:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:50:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 02:55:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:00:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:05:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:10:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:15:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:20:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:25:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:30:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:35:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:40:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:45:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:50:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 03:55:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:00:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:05:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:10:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:15:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:20:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:25:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:30:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:35:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:40:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:45:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:50:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 04:55:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:00:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:05:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:10:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:15:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:20:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:25:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:30:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:35:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:40:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:45:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:50:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 05:55:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:00:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:05:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:10:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:15:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:20:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:25:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:30:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:35:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:40:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:45:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:50:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 06:55:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:00:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:05:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:10:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:15:06,52.0,48.50,1.65,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:20:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:25:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:30:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:35:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:40:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:45:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:50:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 07:55:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:00:07,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:05:04,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:10:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:15:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:20:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:25:04,52.0,47.99,1.14,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:30:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:35:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:40:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:45:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:50:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 08:55:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:00:07,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:05:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:10:06,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:15:05,52.0,46.85,0.00,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:20:06,52.0,47.00,0.15,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:25:06,52.0,47.00,0.15,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:30:06,52.0,46.85,-0.60,-1.23,380.23,46.06,46.85,44.5462,47.13,
24/02/2021 09:35:06,52.0,46.38,-0.48,-1.23,5.05,47.04,46.85,46.18,47.37,
24/02/2021 09:40:05,52.0,46.64,-0.22,-1.23,5.97,47.04,46.85,46.18,47.37,
24/02/2021 09:45:06,52.0,46.60,-0.25,-1.23,12.43,46.53,46.85,46.18,47.37,
24/02/2021 09:50:06,52.0,46.60,-0.25,-1.23,15.17,46.53,46.85,46.16,47.37,
24/02/2021 09:55:06,52.0,46.71,-0.14,-1.23,13.07,46.53,46.85,46.16,47.37,
24/02/2021 10:00:07,52.0,46.59,-0.27,-1.23,19.01,46.53,46.85,46.16,47.37,
24/02/2021 10:05:06,52.0,46.40,-0.45,-1.23,17.91,46.53,46.85,46.16,47.37,
24/02/2021 10:10:06,52.0,46.12,-0.73,-1.23,18.8,46.53,46.85,46.12,47.37,
24/02/2021 10:15:05,52.0,46.36,-0.49,-1.23,21.71,46.53,46.85,46.12,47.37,
24/02/2021 10:20:05,52.0,46.28,-0.57,-1.23,26.22,46.53,46.85,46.12,47.37,
24/02/2021 10:25:06,52.0,46.56,-0.29,-1.23,28.98,46.53,46.85,46.06,47.37,
24/02/2021 10:30:06,52.0,46.45,-0.40,-1.23,31.3,46.53,46.85,46.06,47.37,
24/02/2021 10:35:06,52.0,46.53,-0.32,-1.23,34.01,46.53,46.85,46.06,47.37,
24/02/2021 10:40:06,52.0,46.38,-0.47,-1.23,35.96,46.53,46.85,46.06,47.37,
24/02/2021 10:46:16,52.0,46.44,-0.41,-1.23,38.37,46.53,46.85,46.06,47.37,
24/02/2021 10:50:07,52.0,46.34,-0.51,-1.23,43.4,46.53,46.85,46.06,47.37,
24/02/2021 10:54:38,52.0,46.37,-0.48,-3.22,44.23,46.53,46.85,46.06,47.37,
24/02/2021 10:55:05,52.0,46.37,-0.48,-3.22,44.34,46.53,46.85,46.06,47.37,
24/02/2021 11:00:07,52.0,46.47,-0.38,-3.22,48.77,46.53,46.85,46.06,47.37,
24/02/2021 11:05:06,52.0,46.79,-0.06,-3.22,57.5,46.53,46.85,46.06,47.37,
24/02/2021 11:10:05,52.0,47.01,0.16,-3.22,59.7,46.53,46.85,46.06,47.37,
24/02/2021 11:15:06,52.0,47.03,0.17,-3.22,60.61,46.53,46.85,46.06,47.37,
24/02/2021 11:20:05,52.0,46.94,0.09,-3.11,65.85,46.53,46.85,46.06,47.37,
24/02/2021 11:25:05,52.0,46.95,0.10,-3.11,69.24,46.53,46.85,46.06,47.37,
24/02/2021 11:30:06,52.0,46.89,0.04,-3.11,70.2,46.53,46.85,46.06,47.37,
24/02/2021 11:35:05,52.0,47.11,0.26,-3.11,72.74,46.53,46.85,46.06,47.37,
24/02/2021 11:40:06,52.0,47.09,0.24,-3.11,82.77,46.53,46.85,46.06,47.37,
24/02/2021 11:45:05,52.0,47.12,0.27,-3.11,84.07,46.53,46.85,46.06,47.37,
24/02/2021 11:50:05,52.0,47.27,0.42,-3.11,87,46.53,46.85,46.06,47.37,
