Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 11:10:09,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:15:05,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:20:06,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:25:04,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:30:09,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:35:08,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:40:08,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:45:06,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:50:07,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 11:55:07,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:00:11,50.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:05:10,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:10:06,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:15:08,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:20:09,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:25:06,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:30:08,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:35:07,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:40:09,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:45:08,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:50:06,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 12:55:09,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:00:09,51.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:05:05,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:10:05,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:15:08,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:20:06,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:25:07,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:30:07,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:35:05,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:40:07,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:45:07,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:50:07,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 13:55:08,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:00:09,53.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:05:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:10:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:15:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:20:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:25:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:30:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:35:07,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:40:08,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:45:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:50:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 14:55:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 15:00:06,55.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 15:05:06,57.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 15:10:06,57.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 15:15:06,57.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 15:20:06,57.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
27/02/2021 15:25:07,57.0,27.75,-0.75,-2.63,111880000.0,22.0,28.50,20.99,29.27,
