Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
01/03/2021 05:05:04,50.0,37.20,1.90,5.38,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:10:07,50.0,37.20,1.90,5.38,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:15:08,50.0,37.35,2.05,5.81,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:20:08,50.0,37.35,2.05,5.81,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:25:07,50.0,37.34,2.04,5.78,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:30:10,50.0,37.34,2.04,5.78,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:35:09,50.0,37.50,2.20,6.23,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:40:07,50.0,37.36,2.06,5.84,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:45:05,50.0,37.67,2.37,6.71,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:50:08,50.0,37.50,2.20,6.23,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 05:55:09,50.0,37.50,2.20,6.23,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:00:10,50.0,37.49,2.19,6.20,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:05:10,52.0,37.34,2.04,5.78,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:10:07,52.0,37.34,2.04,5.78,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:15:06,52.0,37.30,2.00,5.67,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:20:05,52.0,37.20,1.90,5.38,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:25:07,52.0,37.20,1.90,5.38,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:30:11,52.0,37.34,2.04,5.78,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:35:08,52.0,37.30,2.00,5.67,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:40:09,52.0,37.30,2.00,5.67,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:45:08,52.0,37.15,1.85,5.24,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:50:07,52.0,37.29,1.99,5.64,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 06:55:08,52.0,37.28,1.98,5.61,9900000.0,35.21,35.30,33.3019,36.66,
01/03/2021 07:00:06,52.0,36.94,1.64,4.65,9900000.0,35.21,35.30,33.3019,36.66,
