Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
27/02/2021 01:05:05,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:10:08,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:15:08,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:20:07,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:25:07,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:30:06,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:35:05,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:40:07,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:45:06,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:50:07,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 01:55:07,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:00:08,50.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:05:08,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:10:08,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:15:06,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:20:07,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:25:08,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:30:07,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:35:08,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:40:06,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:45:09,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:50:06,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 02:55:07,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:00:08,51.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:05:07,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:10:09,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:15:08,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:20:08,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:25:06,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:30:08,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:35:07,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:40:07,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:45:05,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:50:07,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 03:55:06,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:00:10,52.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:05:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:10:06,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:15:07,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:20:07,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:25:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:30:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:35:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:40:07,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:45:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:50:07,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 04:55:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:00:37,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:05:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:10:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:15:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:20:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:25:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:30:11,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:35:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:40:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:45:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:50:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 05:55:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:00:14,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:05:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:10:07,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:15:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:20:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:25:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:30:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:35:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:40:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:45:09,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:50:10,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 06:55:08,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
27/02/2021 07:00:14,53.0,9.71,0.00,23.50,72.8,9.99,9.71,9.7,10.0,
