Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
26/02/2021 07:05:05,50.0,12.65,-0.11,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:10:06,50.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:15:06,50.0,12.63,-0.13,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:20:09,50.0,12.63,-0.13,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:25:07,50.0,12.63,-0.13,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:30:08,50.0,12.63,-0.13,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:35:06,50.0,12.63,-0.13,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:40:03,50.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:45:06,50.0,12.67,-0.09,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:50:06,50.0,12.69,-0.07,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 07:55:06,50.0,12.69,-0.07,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:00:06,50.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:05:05,51.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:10:06,51.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:15:06,51.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:20:06,51.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:25:07,51.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:30:06,51.0,12.64,-0.12,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:35:07,51.0,12.68,-0.08,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:40:06,51.0,12.69,-0.07,-1.68,92340000.0,13.1,12.76,12.66,13.27,
26/02/2021 08:45:09,51.0,12.70,-0.06,-1.68,92340000.0,13.1,12.76,12.66,13.27,
