Date,Count,Price,Points change,Percentage changed,Volume,Open,Close,Low-Range,High-range
28/02/2021 09:10:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:15:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:20:11,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:25:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:30:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:35:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:40:07,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:45:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:50:07,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 09:55:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:00:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:05:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:10:11,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:15:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:20:11,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:25:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:30:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:35:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:40:07,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:45:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:50:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 10:55:08,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:00:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:05:13,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:10:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:15:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:20:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:25:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:30:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:35:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:40:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:45:07,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:50:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 11:55:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:00:12,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:05:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:10:11,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:15:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:20:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:25:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:30:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:35:11,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:40:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:45:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:50:10,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
28/02/2021 12:55:09,50.0,7.35,0.15,2.12,6370000.0,7.53,7.20,7.2,7.6,
